number_of_riders,number_of_drivers,location_category,customer_loyalty_status,number_of_past_rides,average_ratings,time_of_booking,vehicle_type,expected_ride_duration,historical_cost_of_ride,is_urban,is_silver,is_peak_hour,demand_ratio,dynamic_price,static_revenue,dynamic_revenue
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,False,False,True,1.2257337838733187,515.6827708940891,28909.488671335297,38160.5250461626
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.1665249737545,True,False,True,0.3975352812562115,208.2944858929835,5091.996599370108,4999.0676614316035
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,False,False,False,0.795070562512423,254.5107844019552,11311.590417864676,12216.517651293849
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,False,False,True,0.9275823229311602,536.6558974304759,22767.219890989887,30052.73025610665
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,False,False,True,1.1926058437686344,240.86624371874026,13138.158748294922,17342.3695477493
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,True,True,False,1.6067050950771882,703.0646143813772,63303.87783810785,68197.26759499358
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,False,False,True,1.026966143245213,532.2597698476343,25000.080098904036,33000.105730553325
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,False,True,False,0.9441462929835023,551.7672657986213,30653.736988812296,31450.734150521417
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,False,True,True,0.41409925130855363,254.15626273969275,7153.286314092114,6353.906568492319
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,False,False,True,1.242297753925661,640.2721556030402,36379.09975017274,48020.411670228015
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,True,False,False,0.6459948320413437,215.5683392302672,6672.353357127318,8407.165229980421
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,False,False,True,0.5797389518319751,641.3595589260434,17005.745880614788,22447.58456241152
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,False,False,True,1.126349963559266,389.04741015067947,20041.836280489548,26455.223890246205
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,False,True,True,1.590141125024846,492.6197553916545,37712.51715916972,47291.49651759883
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,False,False,False,0.4637911614655801,387.7538047686947,12773.06651002759,10857.10653352345
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,False,False,True,0.41409925130855363,469.86491493617007,12563.233019683692,11746.622873404252
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,False,False,True,0.4637911614655801,228.34351364548,6838.094526281752,6393.6183820734395
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,False,False,True,1.2091698138209765,837.8390212171075,46335.03677943094,61162.24854884885
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,True,True,False,0.5963029218843172,372.1067114960052,12434.643659014375,13395.841613856186
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,True,True,False,0.9275823229311602,162.83618926996778,8464.51926029722,9118.826599118196
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,False,False,True,1.6067050950771882,700.603191936423,51483.71940744926,67958.50961783303
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,False,False,False,1.0435301132975552,579.4201970395177,30419.56034457468,36503.47241348962
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,True,True,True,1.2919896640826873,468.69188350713847,27764.841583927093,36557.966913556804
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,False,False,False,0.4803551315179222,258.36681821611074,8814.867915608484,7492.637728267212
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,False,True,False,1.2091698138209765,528.2639807717294,37586.03371962597,38563.270596336246
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,True,False,True,1.5570131849201616,500.5294439630863,33946.44136546183,47049.76773253011
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,False,True,False,0.8944543828264758,82.34928870201561,4334.17308957977,4446.861589908843
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,False,False,False,1.1097859935069236,454.2738242149337,28181.802057778295,30436.34622240056
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,True,True,False,0.38097131120386934,441.65187309542705,11980.53142408353,10157.993081194822
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,True,True,True,1.1594779036639502,241.05589406488585,12815.305372933857,16873.91258454201
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,False,True,True,0.3312794010468429,168.8896020318434,3802.7492717555506,3377.792040636868
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,False,False,False,1.5735771549725037,626.7625234441753,49618.69977266388,59542.43972719665
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,True,True,False,0.7122507122507122,442.43239941193394,17659.512832742188,19024.593174713158
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,False,True,True,1.6067050950771882,733.5848223958917,56744.59949952272,71157.7277724015
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,False,True,False,0.5300470416749486,309.46481473742597,9651.924046391454,9902.874071597631
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,False,False,True,1.5735771549725037,545.9349509387829,39290.772984230585,51863.82033918438
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,True,False,False,0.7785065924600808,309.7159306383077,12836.55091710799,14556.648740000463
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,False,True,False,0.41409925130855363,179.63411340651066,6179.364066271437,4490.8528351627665
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,False,False,False,0.6128668919366593,256.1319009566918,7897.400279497998,9476.880335397598
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,False,False,True,0.9772742330881866,390.44858180173793,17451.868429017075,23036.46632630254
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,True,True,False,0.6956867421983701,156.28370542405523,6092.9319853432835,6563.915627810319
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,False,False,False,0.8778904127741337,356.4223517026614,15741.987200200878,18890.384640241053
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,False,False,False,1.3085536341350295,720.0219914651983,52668.27530162098,56881.73732575067
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,True,False,True,0.9772742330881866,623.0702486055321,26523.192400956992,36761.144667726396
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,True,False,False,0.6625588020936858,787.4823726373216,24999.440401184816,31499.294905492865
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,False,True,True,1.258861723978003,120.42815147890188,7298.675847206175,9152.539512396543
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,True,False,False,0.679122772146028,723.2191500684202,26148.135055383795,29651.985152805228
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,True,False,False,1.3748095143443981,335.1975983080558,24533.863015492614,27821.40065956863
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,False,False,True,0.7288146823030544,466.4068795613544,15546.895985378478,20521.902700699593
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,True,False,False,1.5073212747631353,70.59636533437649,5665.140428067249,6424.269245428261
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,False,False,False,0.8944543828264758,319.28230792046344,14367.703856420854,17241.244627705026
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,False,True,False,0.9772742330881866,348.9716020462446,20067.56775899457,20589.32452072843
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,False,False,False,1.1926058437686344,531.9097864229448,31914.58718537669,38297.50462245202
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,False,False,True,0.7785065924600808,349.87296225414144,12457.597898442917,16444.029225944647
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,False,True,False,0.5300470416749486,227.19167950163384,7085.900335333609,7270.133744052283
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,False,False,False,0.7453786523553966,424.68929513081156,17695.387297117148,19111.01828088652
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,True,True,False,1.1926058437686344,163.29756936373283,10913.789096991333,11757.424994188765
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,True,False,False,0.9275823229311602,356.07033522244774,17583.720257898654,19939.938772457073
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,False,True,False,0.6956867421983701,417.41273970284465,15378.36409431533,17531.335067519474
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,False,True,False,0.8613264427217916,485.6098684594926,22150.62557885405,25251.713159893614
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,True,False,True,1.3416815742397137,497.64763538798036,29083.30336683002,40309.45846642641
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,False,False,False,1.2754256940303452,312.4130158183245,20046.501848342486,24055.802218010984
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,True,False,False,0.4472271914132379,257.2823478946214,8648.146147718366,6946.623393154778
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,False,False,True,1.2257337838733187,599.9296004221125,33632.41699336085,44394.790431236324
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,True,True,False,1.5238852448154774,54.002683374119144,4150.582180801138,4968.246870418961
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,False,False,False,1.2754256940303452,241.55508343663567,17221.98280057495,18599.74142462095
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,False,False,True,1.0932220234545815,228.56823562590495,11428.411781295246,15085.503551309726
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,True,False,True,1.2754256940303452,820.845332483722,45602.51847131788,63205.09060124659
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,True,False,False,0.5797389518319751,477.9278411274147,13275.773364650408,16727.474439459515
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,False,False,True,0.795070562512423,476.13874482132735,17314.136175320993,22854.659751423715
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,False,False,True,1.010402173192871,268.6102562587791,12413.049721049638,16385.225631785524
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,False,True,False,1.1760418737162923,631.0414490817657,39301.70428491699,44803.942884805365
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,False,False,True,1.5735771549725037,374.17570415686055,26929.312041592235,35546.69189490175
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,False,False,False,1.258861723978003,522.1744141569583,33071.046229940686,39685.25547592883
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,False,False,False,0.5300470416749486,822.9217517989786,21944.580047972762,26333.496057567314
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,False,True,True,0.8116345325647651,791.0995521402144,30912.183456834537,38763.8780548705
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,True,True,False,0.6294308619890016,653.7497790941356,20753.961241083674,24842.491605577154
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,False,False,True,1.5238852448154774,152.27124335863058,10612.844234086375,14008.954388994014
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,False,True,False,0.6625588020936858,414.5551924160813,16161.995805695176,16582.20769664325
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,False,True,False,0.911018352878818,177.88369606981863,8582.10814371932,9783.603283840024
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,False,False,True,0.9607102630358444,661.6671006861869,29073.251393787,38376.69183979884
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,True,False,True,0.563174981779633,779.5376493634878,19122.857199392918,26504.280078358588
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,False,True,True,1.1594779036639502,271.8703037590768,15176.173256088816,19030.921263135377
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,False,False,False,0.8447624726694494,144.10882820322811,6124.625198637194,7349.5502383646335
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,False,False,False,1.4576293646061087,265.38918391171364,19461.873486859004,23354.2481842308
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,False,True,True,0.41409925130855363,437.64190388236295,12317.531772653052,10941.047597059074
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,False,False,False,0.563174981779633,814.5732384108271,25643.972320340854,27695.49010596812
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,True,False,False,0.6625588020936858,239.8724444882663,8461.109153025265,9594.897779530653
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,False,False,False,0.4306632213608958,391.6453840778662,11979.741160028849,10182.779986024521
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,False,False,False,1.3416815742397137,196.9289682571714,13292.70535735907,15951.246428830882
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,False,False,False,1.3251176041873716,230.79191003527347,17095.697039649887,18463.35280282188
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,False,False,False,1.0600940833498973,791.6285478204746,46911.32135232443,50664.22706051038
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,False,False,True,0.7453786523553966,462.79358744674823,15777.05411750278,20825.71143510367
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,True,False,False,1.3913734843967402,218.7257002366552,16201.903721233717,18372.958819879037
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,True,True,True,0.563174981779633,387.26228156289955,9999.937398905282,13166.917573138584
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,False,False,False,1.1097859935069236,99.02902529761282,5529.120579116716,6634.944694940059
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.169069413996,False,True,True,1.5404492148678195,484.256013045151,35913.723455501626,45035.80921319904
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,True,True,False,1.6563970052342145,334.9329225595652,31090.03272621974,33493.29225595652
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,False,False,True,0.5797389518319751,493.6309496606452,13088.699422820138,17277.08323812258
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001313172,False,True,False,0.5963029218843172,227.31142873473144,7975.83960472742,8183.211434450332
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,False,False,False,0.4637911614655801,451.44579581973727,14871.15562700311,12640.482282952644
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,True,False,True,0.34784337109918506,319.01243574366464,6823.795416976783,6699.261150616958
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,True,False,True,0.4306632213608958,484.40221653277183,12828.579200256752,12594.457629852068
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,False,False,True,1.6067050950771882,1027.7960299387346,75527.4355333767,99696.21490405725
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,True,True,True,0.4306632213608958,671.6636225315291,18724.087422641904,17463.254185819755
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,True,False,False,1.5073212747631353,43.358756760795195,3479.406406730478,3945.646865232363
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,False,True,False,1.0766580534022394,653.8915813561903,37283.291919431904,42502.95278815237
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,True,False,False,1.4576293646061087,773.406424059529,60017.42973301459,68059.76531723855
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,False,False,False,1.358245544292056,557.7516654856927,42347.81163872852,45735.6365698268
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024192815,True,True,True,1.0766580534022394,648.500560505468,32013.774157253298,42152.53643285542
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,True,True,False,0.679122772146028,53.04063280483647,2018.626144062281,2174.6659449982953
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,False,True,True,1.4079374544490824,635.392879167024,43068.89531833895,54008.39472919704
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,False,True,False,0.5797389518319751,346.9172070113695,10650.966881928012,12142.102245397933
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614,True,True,False,1.3748095143443981,133.08167146142392,9227.885322721962,11045.778731298185
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866,True,False,False,1.5073212747631353,185.08533744828432,14852.527079183308,16842.765707793875
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.856989480614,False,False,False,0.7288146823030544,435.0855486390631,17725.707537147016,19143.764140118776
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133,False,False,False,1.590141125024846,312.3740061374544,27766.57832332928,29987.90458919562
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082,False,False,False,1.2754256940303452,180.64715377774897,11591.525700738894,13909.83084088667
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696,False,False,False,1.5073212747631353,210.53040408755314,17739.135899969755,19158.266771967337
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572,False,True,True,1.5404492148678195,846.0092234862568,62742.31083271282,78678.85778422188
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235,False,True,True,0.679122772146028,691.6527714859386,22613.846595632764,28357.763630923484
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824,False,False,False,1.010402173192871,158.65771750785888,8065.100639982827,9678.120767979392
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714,True,False,False,1.3748095143443981,88.3408983795918,5819.281401195332,7332.29456550612
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098,False,False,True,0.9772742330881866,457.09581673405296,20430.797869173577,26968.653187309126
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862,False,False,False,0.6956867421983701,110.2083086719209,4285.878670574702,4628.748964220678
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489,False,False,False,1.3416815742397137,533.6713936496689,40025.35452372516,43227.38288562318
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842,False,False,True,1.1926058437686344,242.42897538003143,13223.398657092624,17454.88622736226
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414,False,True,True,0.7122507122507122,547.4432901515218,18771.97884889588,23540.061476515435
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885,True,True,False,1.2257337838733187,37.54041134272354,2320.7940178458994,2777.9904393615416
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413,False,True,True,1.126349963559266,405.6428030796824,21996.579433348008,27583.710609418402
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695,True,True,True,0.5963029218843172,665.4391877816797,18193.8260500801,23955.81076014047
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125,True,False,False,0.8447624726694494,404.28060316901775,16363.738699698337,20618.310761619905
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202,True,True,True,1.0435301132975552,282.51912125514815,13517.661304074072,17798.704639074334
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354,True,False,False,1.590141125024846,860.1407389090932,72816.1472092354,82573.51093527295
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325,False,False,True,1.5570131849201616,878.762985040687,62578.57620744286,82603.72059382458
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274,False,False,True,1.2257337838733187,225.80759906723404,12658.910856799483,16709.762330975318
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524,False,True,True,1.5073212747631353,811.7802081883755,58909.090067896475,73871.99894514217
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386,False,False,False,1.142913933611608,729.7538879915263,41960.848559512764,50353.01827141531
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097,False,True,False,0.8447624726694494,253.34292098496283,12593.06917176716,12920.488970233104
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305032927,False,False,False,0.7453786523553966,464.47185294355614,19352.99387264817,20901.23338246003
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527092545,False,False,False,1.5238852448154774,428.3698529259949,36490.76524925142,39410.02646919153
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054,False,False,True,1.142913933611608,575.5351121600592,30084.78995382127,39711.92273904408
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992,False,True,False,0.9275823229311602,208.22203872871475,11364.945583633555,11660.434168808026
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901,False,False,False,0.7122507122507122,878.1380246980681,31466.612551680773,37759.93506201693
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363543,True,True,False,1.4245014245014245,232.75125546127344,18580.347136052646,20016.607969669516
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342,True,False,False,1.010402173192871,95.10671593562337,5115.969728459459,5801.509672073025
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254,False,False,False,0.8281985026171073,618.0214132401395,28612.10246482127,30901.070662006976
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678,True,False,True,1.2091698138209765,164.66656774569697,8672.914462796449,12020.659445435878
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164,True,False,True,1.258861723978003,340.8084896717189,18687.911410570447,25901.445215050637
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403297744,True,False,False,1.4410653945537666,438.98471353396417,33678.72140869038,38191.67007745488
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505746530285,False,False,True,0.8778904127741337,670.4947585419976,26921.38045661051,35536.222202725876
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.302974601016,False,True,False,1.1760418737162923,255.78485194064237,17700.511196672134,18160.724487785606
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193197189,False,False,False,0.5300470416749486,49.59048088652964,1469.3475818231004,1586.8953883689485
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578300381,False,False,False,1.5073212747631353,509.5344693960457,38639.69726253347,46367.636715040164
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.97357530080251,False,False,True,0.7785065924600808,113.48511939705932,4040.758039137718,5333.800611661788
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669925908357,False,True,False,0.38097131120386934,239.0767618653898,7566.24082958922,5498.765522903966
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.62943414987132,False,False,True,0.9441462929835023,227.87085307783016,9839.877746542665,12988.638625436319
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435328532634,False,True,True,0.795070562512423,328.4771901979923,12573.289576956642,15766.90512950363
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803252397,True,False,True,0.3644073411515272,195.40916965930407,4378.916967155274,4299.001732504689
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549147445,True,True,True,0.9938382031405287,305.8476250862441,13937.00729488467,18350.857505174645
