number_of_riders,number_of_drivers,location_category,customer_loyalty_status,number_of_past_rides,average_ratings,time_of_booking,vehicle_type,expected_ride_duration,historical_cost_of_ride,Predicted_XGB_Tuned,Predicted_LGB_Tuned,Static_Revenue,Dynamic_Revenue_XGB,Dynamic_Revenue_LGB
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,298.37463,273.65408440398227,244.21766165291973,298.37463,273.65408440398227
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,603.41785,571.627963074758,634.7265312250814,603.41785,571.627963074758
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,357.24548,342.8710910807386,345.40676830595487,357.24548,342.8710910807386
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,152.01694,148.3282319120435,151.15212964816465,152.01694,148.3282319120435
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,506.1938,522.3385550532223,530.7599938912294,506.1938,522.3385550532223
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,551.7768,520.4275375229784,482.85016419959805,551.7768,520.4275375229784
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,444.80008,445.8727356828213,355.9595074862448,444.80008,445.8727356828213
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,311.85544,310.80015133402725,303.9609626071891,311.85544,310.80015133402725
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,600.91864,573.1108104257557,514.8771742414517,600.91864,573.1108104257557
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,394.5165,379.73376251381643,361.13235495172165,394.5165,379.73376251381643
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,127.27947,93.98780412873668,80.26246462184758,127.27947,93.98780412873668
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,394.31067,389.12511115801664,420.6239113101238,394.31067,389.12511115801664
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,413.6825,446.1745913054805,520.8926706123274,413.6825,446.1745913054805
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,183.59094,185.66685304205117,183.07579104191225,183.59094,185.66685304205117
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,208.23929,198.28886256681437,190.13746358777752,208.23929,198.28886256681437
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,464.95413,478.693289563802,522.3021028701461,464.95413,478.693289563802
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,409.79135,416.0283903957217,410.6863449474928,409.79135,416.0283903957217
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,615.6011,612.0560042454508,584.9958711291002,615.6011,612.0560042454508
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,264.92007,277.1562733421464,301.62262644973293,264.92007,277.1562733421464
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,484.22287,467.91057167147653,413.5870840445325,484.22287,467.91057167147653
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,299.09387,300.77571320164475,273.11810461931896,299.09387,300.77571320164475
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,312.18008,293.8042779407236,247.1745626508575,312.18008,293.8042779407236
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,251.09837,231.88030264304962,213.4432507972432,251.09837,231.88030264304962
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,369.3469,335.67426414404156,295.79438015283176,369.3469,335.67426414404156
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,151.4488,159.4020842220396,145.0698091748401,151.4488,159.4020842220396
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,340.04102,355.78683262586986,297.0186264188845,340.04102,355.78683262586986
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,649.2527,674.3372343191804,666.6870291344428,649.2527,674.3372343191804
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,394.43784,402.37352931153595,449.5456339145253,394.43784,402.37352931153595
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,550.03064,570.3140148428351,624.9860100296204,550.03064,570.3140148428351
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,107.43158,109.9873119937515,96.03520851587072,107.43158,109.9873119937515
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,612.4004,632.4546485236826,637.7593915947267,612.4004,632.4546485236826
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,267.7176,277.1378245267527,295.5887110300315,267.7176,277.1378245267527
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,326.13663,289.2805417383159,353.33854512223814,326.13663,289.2805417383159
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,54.176125,57.67902522995216,62.25429041832141,54.176125,57.67902522995216
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,281.68378,266.9182260934774,266.0685899337195,281.68378,266.9182260934774
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,378.06882,369.61561902790083,340.1282671016029,378.06882,369.61561902790083
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,490.32715,481.60221148756375,443.258155352454,490.32715,481.60221148756375
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,327.2899,302.8167811015999,265.05527443495566,327.2899,302.8167811015999
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,211.49667,213.96626890348534,221.4343854791753,211.49667,213.96626890348534
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,387.17166,382.78492912526184,393.2308288248255,387.17166,382.78492912526184
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,196.56004,183.4983649810965,151.58040412487964,196.56004,183.4983649810965
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,305.13226,308.21566062396994,313.9950046053331,305.13226,308.21566062396994
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,343.88757,343.8335741326182,366.1515260551269,343.88757,343.8335741326182
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,389.91718,391.0872487865347,425.97356882411634,389.91718,391.0872487865347
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,465.325,429.6497796460821,359.0531279855558,465.325,429.6497796460821
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,221.40273,244.75457081736954,260.34417984860374,221.40273,244.75457081736954
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,293.41318,294.92997962408344,320.30170917475425,293.41318,294.92997962408344
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,523.6755,499.6373108429882,454.49212153190336,523.6755,499.6373108429882
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,61.514915,55.95124406706997,45.11502370436019,61.514915,55.95124406706997
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,225.58362,219.3740217360308,223.6621142931812,225.58362,219.3740217360308
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,170.42546,178.77566119810484,173.1577542620492,170.42546,178.77566119810484
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,584.0506,588.3421691628786,592.240499627505,584.0506,588.3421691628786
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,413.77618,402.74617052908076,379.3078104185831,413.77618,402.74617052908076
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,336.90497,359.8751511494303,360.7111703191874,336.90497,359.8751511494303
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,239.26572,222.5731771741337,203.49261837786293,239.26572,222.5731771741337
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,517.24304,551.8063079299078,553.5451307734787,517.24304,551.8063079299078
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,327.60764,299.4231302674536,283.46644254307614,327.60764,299.4231302674536
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,413.65643,431.22061146707273,435.14534513079855,413.65643,431.22061146707273
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,603.6926,648.4996673671352,685.7681264991488,603.6926,648.4996673671352
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,603.63513,608.0114015810161,630.8608868741742,603.63513,608.0114015810161
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,504.3826,530.0242838140977,546.1568747653598,504.3826,530.0242838140977
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,146.62283,130.53980067148305,115.35700254441711,146.62283,130.53980067148305
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,540.26575,483.74857052052056,404.0498951423794,540.26575,483.74857052052056
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,167.85344,168.05832235558745,156.03832988580584,167.85344,168.05832235558745
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,516.7137,509.35307114866526,501.26295506529306,516.7137,509.35307114866526
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,537.9848,526.027488547068,562.4369764527329,537.9848,526.027488547068
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,248.6398,258.05676604958836,216.8024750869831,248.6398,258.05676604958836
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,109.93244,110.6126412689892,120.09069016935676,109.93244,110.6126412689892
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,198.99664,213.510864976076,221.1576532597614,198.99664,213.510864976076
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,379.38727,366.0332327282888,492.7012709061221,379.38727,366.0332327282888
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,635.04486,691.5405774309078,754.2344800100251,635.04486,691.5405774309078
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,206.48181,210.56141109906517,211.52772882563164,206.48181,210.56141109906517
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,581.8874,600.7497799877623,460.75927538572495,581.8874,600.7497799877623
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,177.15533,170.09921352427943,164.10747354764283,177.15533,170.09921352427943
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,199.62961,198.94742645306349,213.6962129956236,199.62961,198.94742645306349
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,696.4437,706.8284132420921,732.9893961300692,696.4437,706.8284132420921
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,435.19763,409.6194495824283,350.6012026111729,435.19763,409.6194495824283
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,224.13211,205.2459738312182,192.8798062051633,224.13211,205.2459738312182
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,303.03534,312.2324162859054,294.11580585015537,303.03534,312.2324162859054
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,96.25527,86.9520021722315,82.52418774801069,96.25527,86.9520021722315
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.169069413996,457.28363,417.42582187657536,386.169069413996,457.28363,417.42582187657536
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,315.90408,286.5093190959745,310.9003272621974,315.90408,286.5093190959745
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,421.5413,424.89199330357343,373.96284065200393,421.5413,424.89199330357343
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001313172,255.23935,232.99194719182674,221.5511001313172,255.23935,232.99194719182674
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,472.84918,474.2709490759277,531.1127009643968,472.84918,474.2709490759277
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,405.19608,383.0037969733735,324.9426389036563,405.19608,383.0037969733735
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,550.89136,542.085262179202,493.4068923175674,550.89136,542.085262179202
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,686.0086,723.0169625583238,778.6333560141928,686.0086,723.0169625583238
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,652.23004,667.2314955927178,720.1572085631501,652.23004,667.2314955927178
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,42.42472,44.08674670327272,38.23523523879646,42.42472,44.08674670327272
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,540.4106,554.3304183404591,573.5891064527985,540.4106,554.3304183404591
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,629.13324,625.189272377345,682.016246966075,629.13324,625.189272377345
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,519.5015,500.1386679314074,516.4367273015673,519.5015,500.1386679314074
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024192815,413.57425,446.2046689583064,492.5196024192815,413.57425,446.2046689583064
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,49.484848,39.29982156391635,49.234784001519046,49.484848,39.29982156391635
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,545.8183,545.3512757163456,506.6928860981053,545.8183,545.3512757163456
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,309.17596,300.6262824727556,304.3133394836575,309.17596,300.6262824727556
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614,134.79417,129.84656708916268,111.179341237614,134.79417,129.84656708916268
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866,130.03995,156.74110127899647,163.21458328772866,130.03995,156.74110127899647
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.856989480614,482.49228,450.3065249539285,402.856989480614,482.49228,450.3065249539285
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133,304.0091,280.26374241329603,289.2351908680133,304.0091,280.26374241329603
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082,145.53116,157.4197565653792,150.53929481479082,145.53116,157.4197565653792
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696,169.14265,178.23687770635306,194.93555934032696,169.14265,178.23687770635306
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572,649.64996,667.6651491747118,674.6485035775572,649.64996,667.6651491747118
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235,538.30945,550.4420836299954,551.5572340398235,538.30945,550.4420836299954
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824,180.2418,159.45700436166695,132.2147645898824,180.2418,159.45700436166695
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714,75.74253,77.65194936145888,70.11182411078714,75.74253,77.65194936145888
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098,362.52612,351.65155776190153,346.2847096470098,362.52612,351.65155776190153
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862,97.26575,96.34150384005659,102.04473025177862,97.26575,96.34150384005659
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489,470.95615,467.97655011061414,494.1401793052489,470.95615,467.97655011061414
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842,205.34866,191.88816072284834,183.658314681842,205.34866,191.88816072284834
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414,420.85092,417.5409124644305,436.5576476487414,420.85092,417.5409124644305
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885,53.215008,36.23266091267804,31.362081322241885,53.215008,36.23266091267804
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413,360.5122,339.9595917745145,323.4791093139413,360.5122,339.9595917745145
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695,505.8138,511.75038869864886,505.3840569466695,505.8138,511.75038869864886
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125,353.3355,352.6699552354249,320.8576215627125,353.3355,352.6699552354249
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202,182.16867,197.1129714878958,214.5660524456202,182.16867,197.1129714878958
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354,704.7952,719.7273309996285,758.5015334295354,704.7952,719.7273309996285
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325,686.11035,691.3510580186669,665.7295341217325,686.11035,691.3510580186669
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274,179.99773,167.91569394060136,171.06636292972274,179.99773,167.91569394060136
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524,568.7665,568.0125825652234,647.3526381087524,568.7665,568.0125825652234
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386,585.5467,616.1062212922517,608.1282399929386,585.5467,616.1062212922517
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097,260.9461,255.4176105472286,246.92292493661097,260.9461,255.4176105472286
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305032927,515.55145,494.5392658697197,430.0665305032927,515.55145,494.5392658697197
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527092545,468.3228,425.2869211262668,396.6387527092545,468.3228,425.2869211262668
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054,405.05548,423.95541905452905,436.0114486061054,405.05548,423.95541905452905
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992,200.56378,209.8623702819769,202.9454568505992,200.56378,209.8623702819769
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901,700.29456,730.7875210799991,731.7816872483901,700.29456,730.7875210799991
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363543,278.0205,247.22484393652525,216.05054809363543,278.0205,247.22484393652525
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342,97.093506,81.71183637072949,83.86835620425342,97.093506,81.71183637072949
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254,561.4119,576.4933213394245,572.2420492964254,561.4119,576.4933213394245
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678,124.760864,122.6144633834627,118.8070474355678,124.760864,122.6144633834627
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164,242.96136,244.49278330031743,245.8935711917164,242.96136,244.49278330031743
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403297744,320.7299,358.42202817338944,387.1117403297744,320.7299,358.42202817338944
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505746530285,505.27487,510.9633410892149,507.9505746530285,505.27487,510.9633410892149
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.302974601016,259.45746,259.50849991830347,249.302974601016,259.45746,259.50849991830347
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193197189,57.772278,65.99201885073217,45.91711193197189,57.772278,65.99201885073217
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578300381,384.42386,413.75938185049654,424.6120578300381,384.42386,413.75938185049654
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.97357530080251,111.61444,94.8292120734904,85.97357530080251,111.61444,94.8292120734904
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669925908357,302.1578,303.89970609393595,328.9669925908357,302.1578,303.89970609393595
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.62943414987132,189.196,193.6087413929561,172.62943414987132,189.196,193.6087413929561
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435328532634,294.7957,287.1135039671789,261.9435328532634,294.7957,287.1135039671789
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803252397,190.1173,195.63968398538867,199.0416803252397,190.1173,195.63968398538867
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549147445,246.16214,248.86005698360876,232.2834549147445,246.16214,248.86005698360876
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.311838106628,181.4604,171.4918932101843,185.311838106628,181.4604,171.4918932101843
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.76143970087224,135.44777,143.4230303405577,153.76143970087224,135.44777,143.4230303405577
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771352873347,148.5108,162.55301046326173,126.4771352873347,148.5108,162.55301046326173
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276051239,640.33093,633.1352895365449,609.5038276051239,640.33093,633.1352895365449
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624375675698,343.8911,322.55958624412057,287.1624375675698,343.8911,322.55958624412057
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.32480651562713,484.04224,458.11639147198923,406.32480651562713,484.04224,458.11639147198923
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.03711265544783,249.00601,259.2052467211892,249.03711265544783,249.00601,259.2052467211892
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016915662245,625.1958,642.6232594702466,620.9016915662245,625.1958,642.6232594702466
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607016773296,241.28374,256.2596530659187,267.0607016773296,241.28374,256.2596530659187
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547930992089,680.44214,686.0896738363473,715.7547930992089,680.44214,686.0896738363473
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.385487919734,544.1728,510.4091315885084,430.385487919734,544.1728,510.4091315885084
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047008686,496.43997,539.366258106382,604.273047008686,496.43997,539.366258106382
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250631593867,216.7549,222.60105385897856,243.5250631593867,216.7549,222.60105385897856
