Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,static_price,duration_factor,loyalty_factor,past_rides_factor,location_factor,baseline_price,historical_price,baseline_revenue,historical_revenue
63,13,0,1,74,4.95,0,1,102,327.0888648717375,200,51.0,0.95,0.926,1.0,220.8047,327.0888648717375,220.8047,327.0888648717375
39,12,2,2,30,4.51,0,1,140,445.1368684239125,200,70.0,0.9,0.97,1.2,282.852,445.1368684239125,282.852,445.1368684239125
38,28,0,2,35,3.93,0,1,54,244.5361718306458,200,27.0,0.9,0.965,1.0,197.14950000000002,244.5361718306458,197.14950000000002,244.5361718306458
46,14,1,2,21,4.71,0,0,15,47.31430863361691,200,7.5,0.9,0.979,1.1,201.111075,47.31430863361691,201.111075,47.31430863361691
33,7,1,0,49,4.31,1,1,22,129.8082629093964,200,11.0,1.0,0.951,1.1,220.7271,129.8082629093964,220.7271,129.8082629093964
31,7,1,2,24,4.82,1,1,87,382.9481103198511,200,43.5,0.9,0.976,1.1,235.27944000000002,382.9481103198511,235.27944000000002,382.9481103198511
96,45,2,1,6,4.95,0,1,11,82.77279318243978,200,5.5,0.95,0.994,1.2,232.86437999999998,82.77279318243978,232.86437999999998,82.77279318243978
22,11,1,2,79,4.48,3,0,15,64.07117255500656,200,7.5,0.9,0.921,1.1,189.19642500000003,64.07117255500656,189.19642500000003,64.07117255500656
74,16,0,1,6,3.97,2,0,139,390.6687658288554,200,69.5,0.95,0.994,1.0,254.48884999999999,390.6687658288554,254.48884999999999,390.6687658288554
24,12,2,1,10,3.6,1,1,45,212.1665249737545,200,22.5,0.95,0.99,1.2,251.1135,212.1665249737545,251.1135,212.1665249737545
48,19,1,0,72,3.81,3,1,65,235.65813370551408,200,32.5,1.0,0.9279999999999999,1.1,237.336,235.65813370551408,237.336,235.65813370551408
56,13,0,1,36,4.81,1,0,162,406.5574980533908,200,81.0,0.95,0.964,1.0,257.33979999999997,406.5574980533908,257.33979999999997,406.5574980533908
72,33,0,0,66,4.39,2,1,30,182.4744270596517,200,15.0,1.0,0.9339999999999999,1.0,200.80999999999997,182.4744270596517,200.80999999999997,182.4744270596517
97,75,2,2,76,4.7,3,0,158,652.617297300081,200,79.0,0.9,0.924,1.2,278.41967999999997,652.617297300081,278.41967999999997,652.617297300081
62,33,1,1,39,3.91,1,1,129,403.22709836941993,200,64.5,0.95,0.961,1.1,265.6228025,403.22709836941993,265.6228025,403.22709836941993
57,38,1,2,54,4.1,3,1,131,537.7848594528473,200,65.5,0.9,0.946,1.1,248.65137000000004,537.7848594528473,248.65137000000004,537.7848594528473
25,7,1,2,13,3.99,2,1,81,286.13145256368455,200,40.5,0.9,0.987,1.1,234.99976500000002,286.13145256368455,234.99976500000002,286.13145256368455
75,56,1,0,94,4.79,1,1,153,485.0546633356366,200,76.5,1.0,0.906,1.1,275.5599,485.0546633356366,275.5599,485.0546633356366
39,9,2,0,39,4.64,0,1,48,171.0859835160851,200,24.0,1.0,0.961,1.2,258.31679999999994,171.0859835160851,258.31679999999994,171.0859835160851
35,24,1,0,73,3.76,1,1,105,485.8784537318511,200,52.5,1.0,0.927,1.1,257.47425000000004,485.8784537318511,257.47425000000004,485.8784537318511
68,32,1,1,34,3.58,2,0,77,294.7328864777875,200,38.5,0.95,0.966,1.1,240.75859499999999,294.7328864777875,240.75859499999999,294.7328864777875
96,43,0,2,97,3.68,2,1,91,392.83872040801793,200,45.5,0.9,0.903,1.0,199.51785,392.83872040801793,199.51785,392.83872040801793
28,11,1,0,52,4.33,0,1,94,456.1809467866996,200,47.0,1.0,0.948,1.1,257.5716,456.1809467866996,257.5716,456.1809467866996
25,15,0,0,65,4.88,1,1,101,502.5293207873477,200,50.5,1.0,0.935,1.0,234.2175,502.5293207873477,234.2175,502.5293207873477
28,6,1,1,2,4.29,2,0,89,244.21766165291973,200,44.5,0.95,0.998,1.1,254.991495,244.21766165291973,254.991495,244.21766165291973
73,17,0,1,14,4.81,1,1,170,634.7265312250814,200,85.0,0.95,0.986,1.0,266.9595,634.7265312250814,266.9595,634.7265312250814
36,18,2,2,88,3.73,3,1,92,345.40676830595487,200,46.0,0.9,0.912,1.2,242.30016,345.40676830595487,242.30016,345.40676830595487
56,10,2,2,55,4.5,3,0,45,151.15212964816465,200,22.5,0.9,0.945,1.2,227.0835,151.15212964816465,227.0835,151.15212964816465
63,9,0,1,89,3.87,0,1,166,482.85016419959805,200,83.0,0.95,0.911,1.0,244.92234999999997,482.85016419959805,244.92234999999997,482.85016419959805
78,33,2,2,35,4.46,2,1,116,355.9595074862448,200,58.0,0.9,0.965,1.2,268.8876,355.9595074862448,268.8876,355.9595074862448
29,10,1,1,25,3.77,0,0,91,303.9609626071891,200,45.5,0.95,0.975,1.1,250.1338125,303.9609626071891,250.1338125,303.9609626071891
73,33,1,2,60,3.88,3,1,161,514.8771742414517,200,80.5,0.9,0.94,1.1,261.0333,514.8771742414517,261.0333,514.8771742414517
94,29,2,1,67,3.59,1,1,96,361.13235495172165,200,48.0,0.95,0.933,1.2,263.77776,361.13235495172165,263.77776,361.13235495172165
54,28,1,2,83,4.49,3,0,32,80.26246462184758,200,16.0,0.9,0.917,1.1,196.09128,80.26246462184758,196.09128,80.26246462184758
67,6,0,0,15,3.53,3,0,123,420.6239113101238,200,61.5,1.0,0.985,1.0,257.5775,420.6239113101238,257.5775,420.6239113101238
23,8,2,2,27,4.73,0,0,117,520.8926706123274,200,58.5,0.9,0.973,1.2,271.64214,520.8926706123274,271.64214,520.8926706123274
70,14,2,2,16,4.3,2,0,53,183.07579104191225,200,26.5,0.9,0.984,1.2,240.70607999999996,183.07579104191225,240.70607999999996,183.07579104191225
20,10,0,2,70,4.92,1,0,65,190.13746358777752,200,32.5,0.9,0.9299999999999999,1.0,194.6025,190.13746358777752,194.6025,190.13746358777752
43,16,2,2,40,4.89,3,1,106,410.6863449474928,200,53.0,0.9,0.96,1.2,262.3104,410.6863449474928,262.3104,410.6863449474928
97,55,1,2,94,4.62,1,1,150,584.9958711291002,200,75.0,0.9,0.906,1.1,246.65850000000003,584.9958711291002,246.65850000000003,584.9958711291002
32,20,0,2,44,3.55,3,0,68,301.62262644973293,200,34.0,0.9,0.956,1.0,201.3336,301.62262644973293,201.3336,301.62262644973293
95,25,1,1,72,4.16,2,1,128,413.5870840445325,200,64.0,0.95,0.9279999999999999,1.1,256.01664,413.5870840445325,256.01664,413.5870840445325
47,15,2,0,14,4.84,3,0,89,273.11810461931896,200,44.5,1.0,0.986,1.2,289.2924,273.11810461931896,289.2924,273.11810461931896
25,11,0,2,33,3.85,3,0,94,247.1745626508575,200,47.0,0.9,0.967,1.0,214.9641,247.1745626508575,214.9641,247.1745626508575
37,22,0,1,76,4.72,0,0,69,213.4432507972432,200,34.5,0.95,0.924,1.0,205.8441,213.4432507972432,205.8441,213.4432507972432
59,39,1,0,49,3.78,2,1,98,295.79438015283176,200,49.0,1.0,0.951,1.1,260.4789,295.79438015283176,260.4789,295.79438015283176
42,20,2,2,88,4.64,3,1,29,145.0698091748401,200,14.5,0.9,0.912,1.2,211.27392000000003,145.0698091748401,211.27392000000003,145.0698091748401
53,11,0,1,2,3.5,0,1,81,297.0186264188845,200,40.5,0.95,0.998,1.0,228.01805,297.0186264188845,228.01805,297.0186264188845
79,64,0,1,91,4.57,3,0,164,666.6870291344428,200,82.0,0.95,0.909,1.0,243.5211,666.6870291344428,243.5211,666.6870291344428
59,23,2,0,41,4.97,1,1,91,449.5456339145253,200,45.5,1.0,0.959,1.2,282.52139999999997,449.5456339145253,282.52139999999997,449.5456339145253
40,29,2,1,72,4.3,0,0,147,624.9860100296204,200,73.5,0.95,0.9279999999999999,1.2,289.34112,624.9860100296204,289.34112,624.9860100296204
76,40,1,2,77,4.17,2,0,28,96.03520851587072,200,14.0,0.9,0.923,1.1,195.54678,96.03520851587072,195.54678,96.03520851587072
41,26,2,1,96,3.91,3,0,169,637.7593915947267,200,84.5,0.95,0.904,1.2,293.19432,637.7593915947267,293.19432,637.7593915947267
83,14,2,1,80,4.77,3,1,64,295.5887110300315,200,32.0,0.95,0.92,1.2,243.3216,295.5887110300315,243.3216,295.5887110300315
44,17,0,1,15,4.0,1,0,98,353.33854512223814,200,49.0,0.95,0.985,1.0,233.00175,353.33854512223814,233.00175,353.33854512223814
91,73,2,0,61,4.39,3,0,15,62.25429041832141,200,7.5,1.0,0.9390000000000001,1.2,233.81099999999998,62.25429041832141,233.81099999999998,62.25429041832141
54,16,1,1,8,4.5,0,1,67,266.0685899337195,200,33.5,0.95,0.992,1.1,242.05544,266.0685899337195,242.05544,266.0685899337195
59,37,0,2,86,4.67,3,1,95,340.1282671016029,200,47.5,0.9,0.914,1.0,203.5935,340.1282671016029,203.5935,340.1282671016029
72,43,1,0,28,4.87,0,0,132,443.258155352454,200,66.0,1.0,0.972,1.1,284.40720000000005,443.258155352454,284.40720000000005,443.258155352454
47,9,0,0,49,4.44,1,0,96,265.05527443495566,200,48.0,1.0,0.951,1.0,235.84799999999998,265.05527443495566,235.84799999999998,265.05527443495566
32,22,0,2,49,4.65,3,0,60,221.4343854791753,200,30.0,0.9,0.951,1.0,196.857,221.4343854791753,196.857,221.4343854791753
45,13,0,1,96,4.84,3,0,112,393.2308288248255,200,56.0,0.95,0.904,1.0,219.8528,393.2308288248255,219.8528,393.2308288248255
72,45,2,2,82,4.42,3,1,40,151.58040412487964,200,20.0,0.9,0.918,1.2,218.1168,151.58040412487964,218.1168,151.58040412487964
56,15,2,0,34,4.72,3,1,78,313.9950046053331,200,39.0,1.0,0.966,1.2,277.04879999999997,313.9950046053331,277.04879999999997,313.9950046053331
42,22,0,2,67,3.81,0,1,82,366.1515260551269,200,41.0,0.9,0.933,1.0,202.3677,366.1515260551269,202.3677,366.1515260551269
52,14,1,2,87,3.54,0,1,98,425.97356882411634,200,49.0,0.9,0.913,1.1,225.06363000000002,425.97356882411634,225.06363000000002,425.97356882411634
81,23,2,0,39,4.3,1,0,143,359.0531279855558,200,71.5,1.0,0.961,1.2,313.0938,359.0531279855558,313.0938,359.0531279855558
77,25,0,1,70,4.27,0,1,52,260.34417984860374,200,26.0,0.95,0.9299999999999999,1.0,199.67099999999996,260.34417984860374,199.67099999999996,260.34417984860374
27,6,2,0,2,4.42,3,0,86,320.30170917475425,200,43.0,1.0,0.998,1.2,291.0168,320.30170917475425,291.0168,320.30170917475425
74,34,0,1,18,4.66,2,1,140,454.49212153190336,200,70.0,0.95,0.982,1.0,251.883,454.49212153190336,251.883,454.49212153190336
92,69,2,2,88,4.69,0,0,18,45.11502370436019,200,9.0,0.9,0.912,1.2,205.85664,45.11502370436019,205.85664,45.11502370436019
77,34,0,0,33,4.13,3,1,48,223.6621142931812,200,24.0,1.0,0.967,1.0,216.608,223.6621142931812,216.608,223.6621142931812
66,6,0,1,23,4.2,1,0,45,173.1577542620492,200,22.5,0.95,0.977,1.0,206.513375,173.1577542620492,206.513375,173.1577542620492
77,39,2,1,23,4.29,2,0,167,592.240499627505,200,83.5,0.95,0.977,1.2,315.75663,592.240499627505,315.75663,592.240499627505
35,16,2,1,31,4.75,0,1,113,379.3078104185831,200,56.5,0.95,0.969,1.2,283.34529,379.3078104185831,283.34529,379.3078104185831
48,38,0,0,40,3.7,1,1,80,360.7111703191874,200,40.0,1.0,0.96,1.0,230.39999999999998,360.7111703191874,230.39999999999998,360.7111703191874
61,18,0,0,84,3.93,1,1,58,203.49261837786293,200,29.0,1.0,0.916,1.0,209.764,203.49261837786293,209.764,203.49261837786293
71,21,1,2,82,4.88,0,1,126,553.5451307734787,200,63.0,0.9,0.918,1.1,239.01966000000004,553.5451307734787,239.01966000000004,553.5451307734787
95,7,0,0,40,4.68,1,0,95,283.46644254307614,200,47.5,1.0,0.96,1.0,237.6,283.46644254307614,237.6,283.46644254307614
76,44,1,0,20,3.56,0,1,105,435.14534513079855,200,52.5,1.0,0.98,1.1,272.195,435.14534513079855,272.195,435.14534513079855
32,13,1,1,21,4.64,0,0,156,685.7681264991488,200,78.0,0.95,0.979,1.1,284.40928999999994,685.7681264991488,284.40928999999994,685.7681264991488
49,30,0,2,57,4.83,1,0,154,630.8608868741742,200,77.0,0.9,0.943,1.0,235.0899,630.8608868741742,235.0899,630.8608868741742
38,17,2,2,92,4.41,0,1,138,546.1568747653598,200,69.0,0.9,0.908,1.2,263.79215999999997,546.1568747653598,263.79215999999997,546.1568747653598
92,35,1,1,46,4.72,2,0,45,115.35700254441711,200,22.5,0.95,0.954,1.1,221.816925,115.35700254441711,221.816925,115.35700254441711
40,29,1,2,26,4.26,3,0,152,404.0498951423794,200,76.0,0.9,0.974,1.1,266.13576,404.0498951423794,266.13576,404.0498951423794
55,42,1,2,24,4.49,0,0,45,156.03832988580584,200,22.5,0.9,0.976,1.1,214.9884,156.03832988580584,214.9884,156.03832988580584
58,34,0,0,19,4.55,2,1,131,501.26295506529306,200,65.5,1.0,0.981,1.0,260.4555,501.26295506529306,260.4555,501.26295506529306
34,5,2,1,26,4.85,1,1,152,562.4369764527329,200,76.0,0.95,0.974,1.2,306.45935999999995,562.4369764527329,306.45935999999995,562.4369764527329
70,47,1,2,3,3.66,2,1,53,216.8024750869831,200,26.5,0.9,0.997,1.1,223.562295,216.8024750869831,223.562295,216.8024750869831
51,24,0,0,25,4.68,0,1,16,120.09069016935676,200,8.0,1.0,0.975,1.0,202.79999999999998,120.09069016935676,202.79999999999998,120.09069016935676
88,56,0,1,11,4.36,0,0,60,221.1576532597614,200,30.0,0.95,0.989,1.0,216.0965,221.1576532597614,216.0965,221.1576532597614
25,8,1,2,83,3.53,1,0,121,492.7012709061221,200,60.5,0.9,0.917,1.1,236.48971500000005,492.7012709061221,236.48971500000005,492.7012709061221
34,19,0,1,51,4.2,3,1,166,754.2344800100251,200,83.0,0.95,0.949,1.0,255.13864999999996,754.2344800100251,255.13864999999996,754.2344800100251
40,15,2,1,90,3.62,3,1,42,211.52772882563164,200,21.0,0.95,0.91,1.2,229.26539999999997,211.52772882563164,229.26539999999997,211.52772882563164
26,7,1,0,58,4.91,0,0,161,460.75927538572495,200,80.5,1.0,0.942,1.1,290.6541,460.75927538572495,290.6541,460.75927538572495
81,42,1,1,88,4.14,0,0,47,164.10747354764283,200,23.5,0.95,0.912,1.1,213.00444000000002,164.10747354764283,213.00444000000002,164.10747354764283
80,56,1,0,63,4.57,3,1,43,213.6962129956236,200,21.5,1.0,0.937,1.1,228.30005000000003,213.6962129956236,228.30005000000003,213.6962129956236
64,19,0,0,86,4.68,3,1,171,732.9893961300692,200,85.5,1.0,0.914,1.0,260.947,732.9893961300692,260.947,732.9893961300692
45,18,0,0,68,4.07,2,0,136,350.6012026111729,200,68.0,1.0,0.9319999999999999,1.0,249.77599999999998,350.6012026111729,249.77599999999998,350.6012026111729
84,49,2,1,32,4.25,3,1,53,192.8798062051633,200,26.5,0.95,0.968,1.2,249.94727999999995,192.8798062051633,249.94727999999995,192.8798062051633
34,16,2,2,47,4.12,1,0,93,294.11580585015537,200,46.5,0.9,0.953,1.2,253.70765999999998,294.11580585015537,253.70765999999998,294.11580585015537
67,32,1,1,40,4.47,0,1,13,82.52418774801069,200,6.5,0.95,0.96,1.1,207.1608,82.52418774801069,207.1608,82.52418774801069
93,23,1,2,34,4.23,1,1,125,386.169069413996,200,62.5,0.9,0.966,1.1,251.03925,386.169069413996,251.03925,386.169069413996
100,51,2,2,56,3.58,3,0,89,310.9003272621974,200,44.5,0.9,0.944,1.2,249.27264,310.9003272621974,249.27264,310.9003272621974
35,22,1,0,15,4.23,2,1,120,373.96284065200393,200,60.0,1.0,0.985,1.1,281.71000000000004,373.96284065200393,281.71000000000004,373.96284065200393
36,13,0,2,31,4.71,3,0,71,221.5511001313172,200,35.5,0.9,0.969,1.0,205.37955000000002,221.5511001313172,205.37955000000002,221.5511001313172
28,18,1,1,100,3.7,0,0,127,531.1127009643968,200,63.5,0.95,0.9,1.1,247.82175,531.1127009643968,247.82175,531.1127009643968
21,9,2,0,10,3.88,2,1,108,324.9426389036563,200,54.0,1.0,0.99,1.2,301.752,324.9426389036563,301.752,324.9426389036563
26,15,2,1,35,5.0,2,1,161,493.4068923175674,200,80.5,0.95,0.965,1.2,308.5780499999999,493.4068923175674,308.5780499999999,493.4068923175674
97,21,1,1,59,3.87,1,1,174,778.6333560141928,200,87.0,0.95,0.941,1.1,282.22001499999993,778.6333560141928,282.22001499999993,778.6333560141928
26,15,2,2,10,3.71,2,1,171,720.1572085631501,200,85.5,0.9,0.99,1.2,305.2566,720.1572085631501,305.2566,720.1572085631501
91,56,2,0,17,4.66,3,0,10,38.23523523879646,200,5.0,1.0,0.983,1.2,241.81799999999998,38.23523523879646,241.81799999999998,38.23523523879646
65,48,0,2,12,4.37,0,1,140,573.5891064527985,200,70.0,0.9,0.988,1.0,240.084,573.5891064527985,240.084,573.5891064527985
88,28,2,0,22,4.99,3,1,154,682.016246966075,200,77.0,1.0,0.978,1.2,325.0872,682.016246966075,325.0872,682.016246966075
82,13,1,0,32,3.58,3,0,148,516.4367273015673,200,74.0,1.0,0.968,1.1,291.7552,516.4367273015673,291.7552,516.4367273015673
65,40,2,2,48,3.59,1,0,121,492.5196024192815,200,60.5,0.9,0.952,1.2,267.83568,492.5196024192815,267.83568,492.5196024192815
41,6,2,2,56,4.32,3,0,11,49.234784001519046,200,5.5,0.9,0.944,1.2,209.51136,49.234784001519046,209.51136,49.234784001519046
85,36,0,2,64,4.32,1,0,152,506.6928860981053,200,76.0,0.9,0.9359999999999999,1.0,232.5024,506.6928860981053,232.5024,506.6928860981053
35,13,0,2,80,3.8,0,0,93,304.3133394836575,200,46.5,0.9,0.92,1.0,204.102,304.3133394836575,204.102,304.3133394836575
83,29,2,2,78,4.42,0,1,23,111.179341237614,200,11.5,0.9,0.922,1.2,210.60324,111.179341237614,210.60324,111.179341237614
91,31,2,1,12,4.39,3,0,39,163.21458328772866,200,19.5,0.95,0.988,1.2,247.22723999999997,163.21458328772866,247.22723999999997,163.21458328772866
44,28,0,1,31,4.92,3,1,132,402.856989480614,200,66.0,0.95,0.969,1.0,244.8663,402.856989480614,244.8663,402.856989480614
96,12,1,0,15,4.97,3,0,90,289.2351908680133,200,45.0,1.0,0.985,1.1,265.4575,289.2351908680133,265.4575,289.2351908680133
77,46,1,1,97,4.2,0,1,25,150.53929481479082,200,12.5,0.95,0.903,1.1,200.52243750000002,150.53929481479082,200.52243750000002,150.53929481479082
93,42,0,2,75,4.66,2,0,160,674.6485035775572,200,80.0,0.9,0.925,1.0,233.10000000000002,674.6485035775572,233.10000000000002,674.6485035775572
41,9,0,2,73,3.51,2,0,150,551.5572340398235,200,75.0,0.9,0.927,1.0,229.4325,551.5572340398235,229.4325,551.5572340398235
61,44,1,1,69,4.54,0,0,52,132.2147645898824,200,26.0,0.95,0.931,1.1,219.87427000000002,132.2147645898824,219.87427000000002,132.2147645898824
83,10,2,0,28,3.91,0,0,23,70.11182411078714,200,11.5,1.0,0.972,1.2,246.6936,70.11182411078714,246.6936,70.11182411078714
59,22,0,1,79,4.38,2,1,93,346.2847096470098,200,46.5,0.95,0.921,1.0,215.675175,346.2847096470098,215.675175,346.2847096470098
42,31,1,0,62,4.95,3,1,13,102.04473025177862,200,6.5,1.0,0.938,1.1,213.06670000000003,102.04473025177862,213.06670000000003,102.04473025177862
81,16,1,1,73,4.89,3,0,125,494.1401793052489,200,62.5,0.95,0.927,1.1,254.28768750000003,494.1401793052489,254.28768750000003,494.1401793052489
72,19,0,0,89,4.74,2,1,45,183.658314681842,200,22.5,1.0,0.911,1.0,202.69750000000002,183.658314681842,202.69750000000002,183.658314681842
43,9,0,2,2,4.12,2,0,126,436.5576476487414,200,63.0,0.9,0.998,1.0,236.22660000000002,436.5576476487414,236.22660000000002,436.5576476487414
74,33,2,2,82,4.13,0,0,10,31.362081322241885,200,5.0,0.9,0.918,1.2,203.2452,31.362081322241885,203.2452,31.362081322241885
68,45,0,2,65,4.19,1,0,112,323.4791093139413,200,56.0,0.9,0.935,1.0,215.424,323.4791093139413,215.424,323.4791093139413
36,13,2,2,84,4.88,1,1,140,505.3840569466695,200,70.0,0.9,0.916,1.2,267.10560000000004,505.3840569466695,267.10560000000004,505.3840569466695
51,5,2,0,0,4.59,0,1,92,320.8576215627125,200,46.0,1.0,1.0,1.2,295.2,320.8576215627125,295.2,320.8576215627125
63,23,2,2,48,4.09,1,0,49,214.5660524456202,200,24.5,0.9,0.952,1.2,230.82191999999998,214.5660524456202,230.82191999999998,214.5660524456202
96,29,2,1,84,3.65,3,0,176,758.5015334295354,200,88.0,0.95,0.916,1.2,300.74111999999997,758.5015334295354,300.74111999999997,758.5015334295354
94,59,1,1,84,4.38,2,1,175,665.7295341217325,200,87.5,0.95,0.916,1.1,275.20075,665.7295341217325,275.20075,665.7295341217325
74,32,1,1,2,4.7,1,1,38,171.06636292972274,200,19.0,0.95,0.998,1.1,228.39729,171.06636292972274,228.39729,171.06636292972274
91,13,0,2,32,3.6,2,1,160,647.3526381087524,200,80.0,0.9,0.968,1.0,243.93599999999998,647.3526381087524,243.93599999999998,647.3526381087524
69,12,1,1,42,4.34,0,1,158,608.1282399929386,200,79.0,0.95,0.958,1.1,279.30969000000005,608.1282399929386,279.30969000000005,608.1282399929386
51,20,0,2,57,3.68,3,0,67,246.92292493661097,200,33.5,0.9,0.943,1.0,198.17145,246.92292493661097,198.17145,246.92292493661097
45,17,0,0,10,4.93,3,1,148,430.0665305032927,200,74.0,1.0,0.99,1.0,271.26,430.0665305032927,271.26,430.0665305032927
92,34,1,1,98,3.99,3,0,140,396.6387527092545,200,70.0,0.95,0.902,1.1,254.49930000000003,396.6387527092545,254.49930000000003,396.6387527092545
69,36,1,0,55,4.74,2,0,109,436.0114486061054,200,54.5,1.0,0.945,1.1,264.55275,436.0114486061054,264.55275,436.0114486061054
56,14,1,2,30,3.67,3,0,48,202.9454568505992,200,24.0,0.9,0.97,1.1,215.1072,202.9454568505992,215.1072,202.9454568505992
43,26,0,1,59,4.91,0,0,175,731.7816872483901,200,87.5,0.95,0.941,1.0,257.010625,731.7816872483901,257.010625,731.7816872483901
86,48,2,2,37,4.15,3,0,84,216.05054809363543,200,42.0,0.9,0.963,1.2,251.68967999999998,216.05054809363543,251.68967999999998,216.05054809363543
61,34,2,0,82,3.99,3,1,10,83.86835620425342,200,5.0,1.0,0.918,1.2,225.828,83.86835620425342,225.828,83.86835620425342
50,36,1,0,18,4.61,3,0,145,572.2420492964254,200,72.5,1.0,0.982,1.1,294.3545,572.2420492964254,294.3545,572.2420492964254
73,34,2,1,95,4.31,2,1,21,118.8070474355678,200,10.5,0.95,0.905,1.2,217.17284999999998,118.8070474355678,217.17284999999998,118.8070474355678
76,7,2,0,76,4.35,2,0,72,245.8935711917164,200,36.0,1.0,0.924,1.2,261.6768,245.8935711917164,261.6768,245.8935711917164
87,41,2,1,87,4.36,3,0,87,387.1117403297744,200,43.5,0.95,0.913,1.2,253.43966999999998,387.1117403297744,253.43966999999998,387.1117403297744
53,33,0,1,40,3.8,2,1,139,507.9505746530285,200,69.5,0.95,0.96,1.0,245.78399999999996,507.9505746530285,245.78399999999996,507.9505746530285
71,8,1,2,57,3.68,3,0,75,249.302974601016,200,37.5,0.9,0.943,1.1,221.72287500000002,249.302974601016,221.72287500000002,249.302974601016
32,5,0,0,80,3.55,3,0,14,45.91711193197189,200,7.0,1.0,0.92,1.0,190.44,45.91711193197189,190.44,45.91711193197189
91,30,1,0,34,3.69,0,0,96,424.6120578300381,200,48.0,1.0,0.966,1.1,263.5248,424.6120578300381,263.5248,424.6120578300381
47,37,1,0,64,3.75,2,0,31,85.97357530080251,200,15.5,1.0,0.9359999999999999,1.1,221.8788,85.97357530080251,221.8788,85.97357530080251
23,13,0,2,42,4.55,3,0,87,328.9669925908357,200,43.5,0.9,0.958,1.0,209.9457,328.9669925908357,209.9457,328.9669925908357
57,20,0,1,92,3.74,2,0,53,172.62943414987132,200,26.5,0.95,0.908,1.0,195.3789,172.62943414987132,195.3789,172.62943414987132
48,17,1,2,2,4.09,1,0,85,261.9435328532634,200,42.5,0.9,0.998,1.1,239.59485000000004,261.9435328532634,239.59485000000004,261.9435328532634
22,5,2,0,39,4.92,1,0,56,199.0416803252397,200,28.0,1.0,0.961,1.2,262.9296,199.0416803252397,262.9296,199.0416803252397
60,19,2,2,37,4.22,1,0,68,232.2834549147445,200,34.0,0.9,0.963,1.2,243.36935999999997,232.2834549147445,243.36935999999997,232.2834549147445
94,42,0,1,0,4.23,2,1,36,185.311838106628,200,18.0,0.95,1.0,1.0,207.1,185.311838106628,207.1,185.311838106628
43,6,1,2,34,4.4,2,1,24,153.76143970087224,200,12.0,0.9,0.966,1.1,202.74408000000003,153.76143970087224,202.74408000000003,153.76143970087224
97,18,1,1,53,4.25,3,1,26,126.4771352873347,200,13.0,0.95,0.947,1.1,210.787995,126.4771352873347,210.787995,126.4771352873347
47,17,0,2,7,4.8,2,0,173,609.5038276051239,200,86.5,0.9,0.993,1.0,256.04505,609.5038276051239,256.04505,609.5038276051239
39,28,2,2,72,3.76,0,1,87,287.1624375675698,200,43.5,0.9,0.9279999999999999,1.2,244.04543999999999,287.1624375675698,244.04543999999999,287.1624375675698
