Number_of_Riders,Number_of_Drivers,Location_Category,Time_of_Booking,Vehicle_Type,Static_Price,ML_Predicted_Price_Improved,Revenue_Lift_Improved,Revenue_Lift_Pct_Improved
48,19,Suburban,Night,Premium,235.65813370551408,251.7518577852229,16.093724079708835,6.829267391135358
56,13,Rural,Evening,Economy,406.5574980533908,595.9708112025672,189.41331314917642,46.589551061311845
72,33,Rural,Morning,Premium,182.4744270596517,171.80425306337156,-10.670173996280141,-5.847490066535194
97,75,Urban,Night,Economy,652.617297300081,613.4644537348426,-39.15284356523841,-5.9993573151089015
62,33,Suburban,Evening,Premium,403.22709836941993,482.05440368180956,78.82730531238963,19.54910908298413
57,38,Suburban,Night,Premium,537.7848594528473,512.5650251881755,-25.219834264671817,-4.689576848692052
25,7,Suburban,Morning,Premium,286.13145256368455,335.4843731691403,49.35292060545578,17.248338189759565
75,56,Suburban,Evening,Premium,485.0546633356366,614.7728274329936,129.71816409735703,26.742999068457102
39,9,Urban,Afternoon,Premium,171.0859835160851,207.77846461461053,36.692481098525434,21.446807239516318
35,24,Suburban,Evening,Premium,485.8784537318511,370.5647234466456,-115.31373028520551,-23.73304051651679
68,32,Suburban,Morning,Economy,294.7328864777875,294.441146356963,-0.2917401208244996,-0.09898458373985579
96,43,Rural,Morning,Premium,392.83872040801793,389.8448232514458,-2.9938971565721317,-0.7621186509981885
28,11,Suburban,Afternoon,Premium,456.1809467866996,393.26662783002206,-62.91431895667756,-13.79152711217791
25,15,Rural,Evening,Premium,502.5293207873477,425.5289740806535,-77.00034670669419,-15.3225580123469
28,6,Suburban,Morning,Economy,244.21766165291973,294.1058062441394,49.88814459121966,20.42773821252957
73,17,Rural,Evening,Premium,634.7265312250814,659.2701173571749,24.543586132093424,3.866796947139111
36,18,Urban,Night,Premium,345.40676830595487,366.36863265748167,20.9618643515268,6.068747423316028
56,10,Urban,Night,Economy,151.15212964816465,166.33377958355925,15.181649935394603,10.04395371122642
97,81,Suburban,Evening,Economy,530.7599938912294,480.33057928067626,-50.42941461055318,-9.501359407447703
63,9,Rural,Afternoon,Premium,482.85016419959805,540.7068782608646,57.85671406126659,11.982332895583335
78,33,Urban,Morning,Premium,355.9595074862448,421.0527985416985,65.09329105545373,18.28671230476099
29,10,Suburban,Afternoon,Economy,303.9609626071891,307.02133753793305,3.060374930743933,1.0068315695850973
73,33,Suburban,Night,Premium,514.8771742414517,566.1331697501399,51.255995508688216,9.954994719702162
94,29,Urban,Evening,Premium,361.13235495172165,398.79077040303144,37.65841545130979,10.427870816599691
54,28,Suburban,Night,Economy,80.26246462184758,125.66400636507866,45.40154174323108,56.56634387834721
67,6,Rural,Night,Economy,420.6239113101238,379.84076447640143,-40.783146833722355,-9.6958698107995
23,8,Urban,Afternoon,Economy,520.8926706123274,435.55556470104125,-85.33710591128613,-16.38285787568664
70,14,Urban,Morning,Economy,183.07579104191225,199.74326387308068,16.667472831168425,9.104138092923861
20,10,Rural,Evening,Economy,190.13746358777752,227.17780711729026,37.04034352951274,19.48082341616646
95,84,Suburban,Afternoon,Premium,522.3021028701461,433.7841462713137,-88.51795659883237,-16.947654645158412
43,16,Urban,Night,Premium,410.6863449474928,427.7587803663326,17.072435418839802,4.157049687401355
97,55,Suburban,Evening,Premium,584.9958711291002,605.918286729647,20.922415600546742,3.5765065418606112
32,20,Rural,Night,Economy,301.62262644973293,273.26257225280364,-28.360054196929298,-9.402495605433518
95,25,Suburban,Morning,Premium,413.5870840445325,478.1561999312621,64.5691158867296,15.611975900044598
47,15,Urban,Night,Economy,273.11810461931896,302.5267463429196,29.408641723600624,10.767737922241134
25,11,Rural,Night,Economy,247.1745626508575,313.46550885115255,66.29094620029505,26.819485585146268
37,22,Rural,Afternoon,Economy,213.4432507972432,241.80990378835745,28.36665299111425,13.290021064222204
59,39,Suburban,Morning,Premium,295.79438015283176,352.7788097431695,56.984429590337754,19.264879055814006
42,20,Urban,Night,Premium,145.0698091748401,162.9820347912163,17.91222561637622,12.347314522753775
53,11,Rural,Afternoon,Premium,297.0186264188845,342.6556476844148,45.637021265530336,15.365036804516288
79,64,Rural,Night,Economy,666.6870291344428,626.9864371334203,-39.70059200102253,-5.9549069152531215
59,23,Urban,Evening,Premium,449.5456339145253,377.73922912829386,-71.80640478623144,-15.97310692597771
40,29,Urban,Afternoon,Economy,624.9860100296204,557.158638015455,-67.82737201416535,-10.852622446852973
76,40,Suburban,Morning,Economy,96.03520851587072,113.83628480532553,17.801076289454812,18.535989627713484
41,26,Urban,Night,Economy,637.7593915947267,591.3126415035372,-46.44675009118953,-7.282801430026573
83,14,Urban,Night,Premium,295.5887110300315,271.61915252161856,-23.969558508412945,-8.10909131978916
44,17,Rural,Evening,Economy,353.33854512223814,325.57108832116234,-27.76745680107581,-7.858598271940472
91,73,Urban,Night,Economy,62.25429041832141,69.16931172727823,6.915021308956817,11.107702396880471
54,16,Suburban,Afternoon,Premium,266.0685899337195,277.8931148976073,11.824524963887768,4.4441641784298485
59,37,Rural,Night,Premium,340.1282671016029,359.379918291458,19.251651189855124,5.660115036573624
72,43,Suburban,Afternoon,Economy,443.258155352454,464.61257165350975,21.35441630105572,4.817602573849067
47,9,Rural,Evening,Economy,265.05527443495566,308.8985069634449,43.84323252848924,16.541165846238737
32,22,Rural,Night,Economy,221.4343854791753,218.1006766246213,-3.333708854554004,-1.50550640422895
45,13,Rural,Night,Economy,393.2308288248255,406.642711630847,13.411882806021481,3.4106895550643967
72,45,Urban,Night,Premium,151.58040412487964,191.5233790088555,39.942974883975864,26.35101490497994
56,15,Urban,Night,Premium,313.9950046053331,309.71450134326716,-4.280503262065963,-1.3632392870218484
42,22,Rural,Afternoon,Premium,366.1515260551269,337.40128464168816,-28.750241413438744,-7.852006442029734
52,14,Suburban,Afternoon,Premium,425.97356882411634,370.54692960090074,-55.4266392232156,-13.011755489012783
81,23,Urban,Evening,Economy,359.0531279855558,507.8028985155106,148.7497705299548,41.42834553886376
77,25,Rural,Afternoon,Premium,260.34417984860374,235.60587724499692,-24.738302603606826,-9.502153118227083
27,6,Urban,Night,Economy,320.30170917475425,306.9603290530161,-13.341380121738155,-4.165254114975451
74,34,Rural,Morning,Premium,454.49212153190336,487.96928216077066,33.477160628867296,7.365839591680874
92,69,Urban,Afternoon,Economy,45.11502370436019,73.26239830116002,28.14737459679983,62.390246719696385
77,34,Rural,Night,Premium,223.6621142931812,230.15521285049664,6.493098557315449,2.903083777882987
66,6,Rural,Evening,Economy,173.1577542620492,178.42624041429386,5.268486152244662,3.042593255322295
77,39,Urban,Morning,Economy,592.240499627505,574.7795024990702,-17.46099712843477,-2.9482950151867393
35,16,Urban,Afternoon,Premium,379.3078104185831,397.87909299988263,18.571282581299556,4.896098121682577
48,38,Rural,Evening,Premium,360.7111703191874,351.832931996494,-8.878238322693392,-2.4613150501652568
61,18,Rural,Evening,Premium,203.49261837786293,242.27721256973575,38.78459419187283,19.059459994688453
71,21,Suburban,Afternoon,Premium,553.5451307734787,514.8379818285581,-38.70714894492062,-6.992591352187384
95,7,Rural,Evening,Economy,283.46644254307614,308.2098389972719,24.74339645419576,8.728862659090838
76,44,Suburban,Afternoon,Premium,435.14534513079855,414.29789447910895,-20.8474506516896,-4.790916617854006
32,13,Suburban,Afternoon,Economy,685.7681264991488,578.2908234914564,-107.4773030076924,-15.672542781532412
49,30,Rural,Evening,Economy,630.8608868741742,595.8173747886824,-35.043512085491784,-5.554871575432009
38,17,Urban,Afternoon,Premium,546.1568747653598,504.5314839476821,-41.625390817677726,-7.621508167513381
92,35,Suburban,Morning,Economy,115.35700254441711,160.49303100682417,45.136028462407054,39.12725492761296
40,29,Suburban,Night,Economy,404.0498951423794,522.9707784674074,118.920883325028,29.432227245875804
55,42,Suburban,Afternoon,Economy,156.03832988580584,184.63659183306322,28.598261947257384,18.32771599656736
58,34,Rural,Morning,Premium,501.26295506529306,485.241665247855,-16.02128981743806,-3.1961846882044522
34,5,Urban,Evening,Premium,562.4369764527329,542.5554459495676,-19.881530503165322,-3.534890367371883
70,47,Suburban,Morning,Premium,216.8024750869831,242.1964194017209,25.39394431473781,11.71294022568217
51,24,Rural,Afternoon,Premium,120.09069016935676,122.79646001220915,2.7057698428523906,2.2531054147799505
88,56,Rural,Afternoon,Economy,221.1576532597614,222.819591854197,1.661938594435611,0.7514723410831169
25,8,Suburban,Evening,Economy,492.7012709061221,397.4519756740425,-95.24929523207959,-19.332057954083933
34,19,Rural,Night,Premium,754.2344800100251,621.3744150441458,-132.86006496587925,-17.6152202646733
40,15,Urban,Night,Premium,211.52772882563164,202.5928136734085,-8.934915152223141,-4.223992382383327
26,7,Suburban,Afternoon,Economy,460.75927538572495,551.0008988163911,90.24162343066615,19.585416561635206
81,42,Suburban,Afternoon,Economy,164.10747354764283,179.03990490540858,14.93243135776575,9.099178139154427
80,56,Suburban,Night,Premium,213.6962129956236,213.000001817236,-0.6962111783875855,-0.3257948134073127
64,19,Rural,Night,Premium,732.9893961300692,679.23432475898,-53.755071371089116,-7.333676538146026
45,18,Rural,Morning,Economy,350.6012026111729,435.67375390172754,85.07255129055466,24.26476311460421
84,49,Urban,Night,Premium,192.8798062051633,235.91545959776852,43.03565339260521,22.312161256958564
34,16,Urban,Evening,Economy,294.11580585015537,307.36776336537713,13.251957515221761,4.505693761311591
67,32,Suburban,Afternoon,Premium,82.52418774801069,106.73589207991425,24.21170433190356,29.338918676587888
93,23,Suburban,Evening,Premium,386.169069413996,480.01548679303716,93.84641737904116,24.301899041642887
100,51,Urban,Night,Economy,310.9003272621974,332.9630662212541,22.06273895905673,7.096402616665677
35,22,Suburban,Morning,Premium,373.96284065200393,405.60827060774653,31.6454299557426,8.462185681488785
36,13,Rural,Night,Economy,221.55110013131716,246.19800658451163,24.646906453194475,11.1247050628888
28,18,Suburban,Afternoon,Economy,531.1127009643968,462.5144764410393,-68.59822452335754,-12.915945033661702
21,9,Urban,Morning,Premium,324.9426389036563,402.71525065523804,77.77261175158174,23.93425867838812
26,15,Urban,Morning,Premium,493.4068923175674,590.1753151829137,96.76842286534628,19.61229653903254
97,21,Suburban,Evening,Premium,778.6333560141928,660.0415764384012,-118.59177957579163,-15.230760236481567
26,15,Urban,Morning,Premium,720.1572085631501,630.211496308512,-89.94571225463812,-12.489732961792722
91,56,Urban,Night,Economy,38.23523523879646,68.76187233843345,30.526637099636986,79.83901997459733
65,48,Rural,Afternoon,Premium,573.5891064527985,523.0484495772562,-50.54065687554237,-8.811299989307141
88,28,Urban,Night,Premium,682.016246966075,612.4890397377725,-69.52720722830247,-10.194362309929094
82,13,Suburban,Night,Economy,516.4367273015673,492.7359144037493,-23.700812897818025,-4.589296547837932
65,40,Urban,Evening,Economy,492.5196024192815,415.0543840575949,-77.4652183616866,-15.728352329769917
41,6,Urban,Night,Economy,49.234784001519046,66.26750211813251,17.032718116613466,34.59488746023128
85,36,Rural,Evening,Economy,506.6928860981053,534.5331810945195,27.840294996414173,5.494510730317174
35,13,Rural,Afternoon,Economy,304.3133394836575,309.1052018288681,4.791862345210575,1.5746474845109153
83,29,Urban,Afternoon,Premium,111.179341237614,135.94936936969665,24.770028132082658,22.27934421660569
91,31,Urban,Night,Economy,163.21458328772866,144.18676045210947,-19.02782283561919,-11.658163414279784
44,28,Rural,Night,Premium,402.856989480614,479.1072644266194,76.25027494600539,18.927380419615297
96,12,Suburban,Night,Economy,289.2351908680133,300.5752283649416,11.34003749692829,3.92069770725205
77,46,Suburban,Afternoon,Premium,150.53929481479082,148.70387393374867,-1.835420881042154,-1.219230423060159
91,80,Rural,Night,Economy,194.93555934032696,172.2626515102593,-22.672907830067658,-11.630975850067617
93,42,Rural,Morning,Economy,674.6485035775572,581.7861158778452,-92.86238769971203,-13.76455846374476
41,9,Rural,Morning,Economy,551.5572340398235,523.6092228575357,-27.948011182287814,-5.067109894939737
61,44,Suburban,Afternoon,Economy,132.2147645898824,174.75977449031626,42.545009900433854,32.1787131962186
83,10,Urban,Afternoon,Economy,70.11182411078714,89.4317099252887,19.31988581450156,27.55581681054719
59,22,Rural,Morning,Premium,346.2847096470098,357.95885575385256,11.674146106842784,3.37125659366912
42,31,Suburban,Night,Premium,102.04473025177862,109.79489321213745,7.750162960358836,7.594868388829664
81,16,Suburban,Night,Economy,494.1401793052489,483.22260362376096,-10.91757568148796,-2.209408612923938
72,19,Rural,Morning,Premium,183.658314681842,200.99195076997947,17.333636088137467,9.437980588118299
43,9,Rural,Morning,Economy,436.5576476487414,414.47647632131617,-22.08117132742524,-5.058019587184501
74,33,Urban,Afternoon,Economy,31.362081322241885,68.75902463668344,37.39694331444155,119.24254302573904
68,45,Rural,Evening,Economy,323.4791093139413,354.09664162593793,30.617532311996627,9.465072528773986
36,13,Urban,Evening,Premium,505.3840569466695,505.71620023011894,0.33214328344945443,0.0657209658444971
51,5,Urban,Afternoon,Premium,320.8576215627125,368.1295173604333,47.27189579772079,14.73298205212849
63,23,Urban,Evening,Economy,214.5660524456202,204.1752468392416,-10.390805606378592,-4.842707170097212
96,29,Urban,Night,Economy,758.5015334295354,595.1239372365613,-163.377596192974,-21.539520883269482
94,59,Suburban,Morning,Premium,665.7295341217325,667.2100318151968,1.4804976934642582,0.22238726353299215
74,32,Suburban,Evening,Premium,171.06636292972274,189.90920036990224,18.842837440179494,11.014928427466762
91,13,Rural,Morning,Premium,647.3526381087524,554.0055068454359,-93.34713126331656,-14.419827118652236
69,12,Suburban,Afternoon,Premium,608.1282399929386,580.0580004988499,-28.070239494088696,-4.61584212803777
51,20,Rural,Night,Economy,246.92292493661097,254.46099378323038,7.53806884661941,3.0528023465437855
45,17,Rural,Night,Premium,430.0665305032927,524.6487019212354,94.58217141794273,21.992451099892925
92,34,Suburban,Night,Economy,396.6387527092545,480.70242706675475,84.06367435750025,21.194014398063846
69,36,Suburban,Morning,Economy,436.0114486061054,403.127125452714,-32.88432315339139,-7.542077910687898
56,14,Suburban,Night,Economy,202.9454568505992,190.87499972416546,-12.070457126433723,-5.947636036671439
43,26,Rural,Afternoon,Economy,731.7816872483901,622.5694730281429,-109.21221422024723,-14.92415239726778
86,48,Urban,Night,Economy,216.05054809363543,290.4492683889984,74.39872029536298,34.435793360319956
61,34,Urban,Night,Premium,83.86835620425342,107.62692611413232,23.7585699098789,28.328407739406696
50,36,Suburban,Night,Economy,572.2420492964254,593.0684378438089,20.82638854738343,3.6394369433336093
73,34,Urban,Morning,Premium,118.8070474355678,124.93665804461324,6.129610609045443,5.1592988306267715
76,7,Urban,Morning,Economy,245.8935711917164,253.75707137849287,7.863500186776463,3.197928334875217
87,41,Urban,Night,Economy,387.1117403297744,331.31040932958774,-55.80133100018668,-14.414786529762802
53,33,Rural,Morning,Premium,507.9505746530285,514.7764564159537,6.825881762925178,1.3438082568540866
71,8,Suburban,Night,Economy,249.302974601016,270.75872235782555,21.455747756809558,8.606294325668314
32,5,Rural,Night,Economy,45.91711193197189,77.249561707608,31.332449775636107,68.23697845382009
91,30,Suburban,Afternoon,Economy,424.6120578300381,363.04817418270653,-61.56388364733158,-14.49885430996736
47,37,Suburban,Morning,Economy,85.97357530080251,126.00744367394383,40.03386837314132,46.56531757935119
23,13,Rural,Night,Economy,328.9669925908357,290.56341908200795,-38.40357350882772,-11.673989905909352
57,20,Rural,Morning,Economy,172.62943414987132,182.31845053653305,9.689016386661734,5.612609711881487
48,17,Suburban,Evening,Economy,261.9435328532634,298.08868047509844,36.145147621835065,13.798831842923567
22,5,Urban,Evening,Economy,199.0416803252397,213.01003635351117,13.968356028271472,7.017804514836684
60,19,Urban,Evening,Economy,232.2834549147445,252.46939517498112,20.185940260236606,8.690218710430967
94,42,Rural,Morning,Premium,185.311838106628,189.94799412622814,4.636156019600151,2.501813196053086
43,6,Suburban,Morning,Premium,153.76143970087224,153.2545415213069,-0.5068981795653542,-0.3296653442836349
97,18,Suburban,Night,Premium,126.4771352873347,152.8699349051699,26.39279961783521,20.867645015737608
47,17,Rural,Morning,Economy,609.5038276051239,625.3188620589244,15.815034453800536,2.5947391529830623
39,28,Urban,Afternoon,Premium,287.1624375675698,330.96241391147777,43.799976343907986,15.252683016246435
50,39,Suburban,Evening,Premium,406.32480651562713,520.164210473406,113.83940395777887,28.016848130437893
35,17,Urban,Evening,Premium,249.03711265544783,250.61275472537903,1.575642069931206,0.632693678918116
28,8,Suburban,Evening,Premium,620.9016915662245,635.2081789280618,14.306487361837299,2.3041469456701247
51,32,Rural,Morning,Premium,267.0607016773296,243.58523594916477,-23.475465728164806,-8.790310809760598
54,12,Suburban,Evening,Premium,715.7547930992089,690.9570035198032,-24.79778957940573,-3.4645649345960545
65,10,Urban,Afternoon,Economy,430.385487919734,575.7333259920982,145.34783807236425,33.77154717156061
61,26,Rural,Morning,Premium,604.273047008686,505.6294596221115,-98.64358738657455,-16.324340109969626
46,9,Suburban,Evening,Premium,243.5250631593867,219.21613323394945,-24.30892992543724,-9.982105993553153
73,50,Urban,Night,Economy,176.2144067384048,180.41218905149984,4.197782313095047,2.382201541175218
86,49,Urban,Night,Economy,471.4796320940979,474.0205157180556,2.5408836239577113,0.5389169438077872
75,7,Suburban,Morning,Economy,453.3769493913552,432.1397957386029,-21.237153652752284,-4.684215569684898
39,29,Suburban,Evening,Economy,251.1073064574406,335.02043226240374,83.91312580496316,33.417237829033596
33,6,Rural,Night,Premium,521.8019208244536,500.42799838127223,-21.373922443181414,-4.096175500736054
40,29,Suburban,Night,Premium,346.4926515319707,313.07981641281276,-33.41283511915793,-9.643158367551974
54,35,Suburban,Night,Economy,234.0714535105622,258.6937585288541,24.62230501829191,10.519140479973505
53,26,Urban,Night,Premium,184.0244513007148,227.95483043801985,43.93037913730507,23.872033757904447
81,34,Urban,Afternoon,Premium,554.8869659163038,532.7361357175018,-22.15083019880194,-3.991953597652725
45,20,Urban,Morning,Economy,192.61977241404605,224.24635092612453,31.62657851207848,16.41917551646543
20,9,Urban,Evening,Economy,227.796524806166,310.05420656085727,82.25768175469128,36.11015656392697
47,22,Rural,Afternoon,Premium,416.601648993299,427.9604171283276,11.358768135028583,2.726529806705419
33,18,Urban,Evening,Premium,671.7128294096442,558.9634164094075,-112.7494130002367,-16.78535946668311
78,57,Rural,Morning,Premium,552.6397714448676,522.5478488767258,-30.091922568141854,-5.4451243147895445
26,12,Rural,Afternoon,Economy,321.37240510655704,394.9922033154574,73.61979820890036,22.907940146413736
62,21,Rural,Night,Economy,215.4338699200544,202.3104006705332,-13.123469249521207,-6.091646245964578
84,59,Suburban,Morning,Premium,758.9961232252967,629.4137318542571,-129.58239137103965,-17.07286604052588
49,8,Urban,Afternoon,Premium,694.4247148756359,583.4264638983808,-110.99825097725511,-15.984202261167177
34,22,Suburban,Morning,Economy,617.3632185255483,604.9280193680352,-12.435199157513125,-2.014243606415713
49,30,Rural,Afternoon,Premium,328.63536897966003,302.1369894742174,-26.498379505442642,-8.063155097308679
83,50,Rural,Evening,Premium,376.3000600585162,397.2358813469828,20.935821288466627,5.563597647369767
88,5,Urban,Night,Economy,70.20380336705749,104.04884322269294,33.84503985563545,48.20969553270234
90,71,Suburban,Morning,Economy,451.6848649701074,558.4871389081421,106.80227393803472,23.645307208844137
65,5,Rural,Night,Economy,301.40392677127403,379.6623982956015,78.25847152432749,25.96464895552452
73,28,Urban,Afternoon,Economy,153.39607111804412,180.2308430441271,26.834771926082993,17.49378046679736
85,62,Suburban,Morning,Economy,339.66230419418656,368.7199373411601,29.057633146973558,8.554859573219279
65,27,Rural,Night,Premium,733.4425366578176,593.8138117608412,-139.62872489697645,-19.037445732728102
74,42,Urban,Evening,Economy,203.8363809804033,264.04505069010906,60.20866970970576,29.537744646032632
41,7,Rural,Evening,Premium,284.5088586099128,271.6566897023818,-12.852168907530995,-4.517317657638377
79,23,Urban,Night,Economy,492.1134583590864,509.2754218915841,17.16196353249768,3.487399753244485
53,7,Urban,Night,Premium,86.19117981050438,106.85671253949788,20.665532728993497,23.976389201804295
35,14,Urban,Night,Premium,727.8809447636283,686.5454483326365,-41.33549643099184,-5.67888151604451
53,40,Rural,Evening,Premium,158.65264164620277,176.36871101507586,17.716069368873093,11.166576985449844
36,23,Urban,Morning,Economy,44.52503661261306,72.86784780109922,28.34281118848616,63.65589642313109
38,25,Urban,Morning,Premium,452.4258268814717,464.76517953774925,12.339352656277526,2.7273758311570124
52,36,Rural,Morning,Premium,152.64047921471024,190.8842842045066,38.24380498979636,25.054825028425835
91,64,Suburban,Morning,Premium,420.2245689053783,365.7080028485689,-54.51656605680938,-12.973198163738218
87,5,Urban,Night,Economy,151.35930066309265,161.3610934420075,10.001792778914847,6.6079803058667785
96,20,Suburban,Evening,Premium,242.27196569085137,295.6961082154724,53.42414252462103,22.051310134987865
83,59,Urban,Morning,Economy,119.0485543701777,126.5941047101847,7.545550340006997,6.3382124881116555
48,23,Rural,Afternoon,Economy,472.56954081275165,652.1053368208422,179.53579600809059,37.99140242922022
65,19,Suburban,Evening,Economy,334.6493506052282,343.8802437803255,9.230893175097265,2.758377734306905
79,29,Suburban,Morning,Economy,406.0855256604135,476.82327569751175,70.73775003709824,17.419421665438094
100,22,Suburban,Night,Premium,551.365137615676,529.689543853773,-21.675593761902974,-3.9312593929382147
73,63,Suburban,Afternoon,Economy,534.0181945871103,491.4013817850645,-42.61681280204584,-7.980404644264248
79,67,Rural,Evening,Premium,501.2363000548165,566.3935489439671,65.15724888915054,12.999307688215072
88,55,Rural,Night,Premium,159.60691863182956,153.1385543900007,-6.468364241828851,-4.052684117503476
76,34,Suburban,Morning,Economy,359.8010509571677,374.02375720571604,14.22270624854832,3.9529362715067373
49,30,Suburban,Night,Economy,348.6695624527248,310.9802291723835,-37.689333280341316,-10.809470438203654
100,64,Rural,Night,Premium,490.5040759704239,414.26282505581605,-76.24125091460786,-15.543449004734672
87,26,Rural,Morning,Premium,485.683239513509,445.99682555235,-39.68641396115902,-8.171254581671676
22,5,Rural,Evening,Economy,424.9275101964327,380.2747343639315,-44.65277583250122,-10.508327834989885
21,11,Rural,Afternoon,Economy,40.442890652890384,78.52220451930789,38.07931386641751,94.15576693872164
93,57,Suburban,Morning,Premium,258.424915281181,319.573097674061,61.14818239288002,23.661875762384337
28,15,Rural,Night,Premium,511.929390993806,683.43397516316,171.50458416935396,33.5016092427147
97,7,Urban,Afternoon,Premium,441.74670095471794,519.1708240703168,77.42412311559889,17.526814110499807
48,12,Urban,Night,Premium,175.5180543386476,178.0581880205135,2.5401336818659104,1.4472207383093092
70,37,Urban,Night,Premium,658.5834276725151,632.8050115816505,-25.77841609086454,-3.914221799046396
78,12,Rural,Afternoon,Economy,299.2909931126892,323.8459293408144,24.5549362281252,8.204368588826782
25,7,Rural,Evening,Premium,494.8027992189699,495.09324514225307,0.29044592328318686,0.058699329054250765
24,9,Urban,Afternoon,Premium,223.51901195083732,298.76416435141795,75.24515240058062,33.66387124918514
92,37,Rural,Morning,Premium,434.5710508212173,401.28265338421687,-33.28839743700041,-7.660058665687622
43,33,Rural,Morning,Premium,630.4284012724294,573.6654029933084,-56.76299827912101,-9.00387707225008
96,23,Urban,Morning,Premium,445.1254111184949,392.9254466554519,-52.199964463043045,-11.727024150761665
88,46,Rural,Afternoon,Premium,361.98552095653855,284.3180069862121,-77.66751397032647,-21.455972538650666
83,43,Suburban,Morning,Economy,267.28219711727195,238.6362512846045,-28.64594583266745,-10.717491154152269
50,29,Urban,Morning,Economy,518.9547629602604,513.1078008712167,-5.8469620890437,-1.1266804944020599
97,75,Urban,Afternoon,Economy,575.4934491747886,612.6643218182573,37.17087264346878,6.458956691300107
84,24,Suburban,Afternoon,Economy,349.4432162449335,317.42900833523345,-32.014207909700076,-9.161490743394634
68,40,Suburban,Morning,Premium,279.2349662242834,286.00659846699216,6.771632242708733,2.4250660059778157
77,30,Urban,Evening,Premium,689.7483154802385,644.9104400244402,-44.837875455798326,-6.500613984766295
82,67,Urban,Afternoon,Economy,88.76294359232648,142.56550530452955,53.80256171220307,60.613764635059134
21,8,Suburban,Evening,Premium,621.7963494961118,610.180760433154,-11.615589062957838,-1.8680696778568773
75,24,Rural,Night,Premium,307.621949405299,308.9930365681979,1.3710871628989025,0.4457052448791499
61,9,Urban,Evening,Premium,172.41053126646165,176.56509606915608,4.154564802694438,2.4096931737154326
90,13,Suburban,Afternoon,Economy,444.2453020895959,461.50671284408804,17.261410754492147,3.88555842308285
100,21,Suburban,Night,Premium,556.8967118375435,561.9698162231018,5.073104385558281,0.9109596587164254
93,31,Suburban,Afternoon,Premium,355.3245754797394,408.32650785072275,53.001932370983354,14.916483696469097
92,14,Urban,Morning,Premium,474.99773906008016,504.7321237160759,29.73438465599571,6.259900250227244
61,12,Rural,Afternoon,Premium,581.9712306098094,638.7020136521801,56.73078304237072,9.748039088276968
53,12,Suburban,Night,Premium,663.4393972369916,566.6935304028527,-96.74586683413884,-14.58247237608345
55,21,Urban,Night,Premium,519.469492374694,509.16455158314756,-10.304940791546471,-1.983743211644372
57,45,Rural,Afternoon,Premium,397.6919501475396,401.85626512999727,4.164314982457654,1.0471207629203296
34,8,Suburban,Afternoon,Premium,388.1122298927073,422.69486424116593,34.58263434845861,8.91047271507494
