Number_of_Riders,Number_of_Drivers,Location_Category,Time_of_Booking,Vehicle_Type,Static_Price,ML_Predicted_Price,Revenue_Lift,Revenue_Lift_Pct
28,11,Suburban,Afternoon,Premium,456.1809467866996,397.8942740513952,-58.28667273530442,-12.77709495450673
25,15,Rural,Evening,Premium,502.5293207873477,447.9805666278173,-54.54875415953035,-10.85484008655754
28,6,Suburban,Morning,Economy,244.21766165291973,296.3708636729505,52.15320202003079,21.355213077975712
73,17,Rural,Evening,Premium,634.7265312250814,662.703059738098,27.976528513016547,4.407650718336799
36,18,Urban,Night,Premium,345.40676830595487,342.0157485038762,-3.391019802078688,-0.9817467731480543
56,10,Urban,Night,Economy,151.15212964816465,153.98024927370864,2.828119625543991,1.8710418649918976
97,81,Suburban,Evening,Economy,530.7599938912294,519.251412816994,-11.508581074235394,-2.1683211256864037
63,9,Rural,Afternoon,Premium,482.85016419959805,552.9607353451349,70.11057114553688,14.52015062721506
78,33,Urban,Morning,Premium,355.9595074862448,402.5504117412176,46.59090425497283,13.088821417917378
29,10,Suburban,Afternoon,Economy,303.9609626071891,321.93021349956837,17.96925089237925,5.911696929187923
73,33,Suburban,Night,Premium,514.8771742414517,556.3524233783975,41.47524913694576,8.055367612295033
94,29,Urban,Evening,Premium,361.13235495172165,399.30050515838747,38.168150206665814,10.569019829798513
54,28,Suburban,Night,Economy,80.26246462184758,123.15438633565563,42.891921713808046,53.43957716211569
67,6,Rural,Night,Economy,420.6239113101238,381.3745574514758,-39.249353858647964,-9.331222691643324
23,8,Urban,Afternoon,Economy,520.8926706123274,419.9209314213805,-100.97173919094689,-19.38436551089327
70,14,Urban,Morning,Economy,183.07579104191225,180.07399148153115,-3.0017995603811016,-1.6396485539116898
20,10,Rural,Evening,Economy,190.13746358777752,218.6846119042523,28.54714831647479,15.01395242042656
95,84,Suburban,Afternoon,Premium,522.3021028701461,455.91765920595657,-66.38444366418952,-12.709970589701783
43,16,Urban,Night,Premium,410.6863449474928,422.09236406401516,11.406019116522373,2.7773066372539508
97,55,Suburban,Evening,Premium,584.9958711291002,597.386784722312,12.390913593211735,2.1181198372043273
32,20,Rural,Night,Economy,301.62262644973293,250.16655982521266,-51.456066624520275,-17.05975020182901
95,25,Suburban,Morning,Premium,413.5870840445325,488.53726838938167,74.95018434484916,18.121983794053634
47,15,Urban,Night,Economy,273.11810461931896,315.44544816912156,42.327343549802606,15.49781681767302
25,11,Rural,Night,Economy,247.1745626508575,317.8573958581305,70.68283320727298,28.596321744934123
37,22,Rural,Afternoon,Economy,213.4432507972432,251.8051234806232,38.36187268338,17.972867514007838
59,39,Suburban,Morning,Premium,295.79438015283176,360.9309863022369,65.13660614940511,22.020907265293605
42,20,Urban,Night,Premium,145.0698091748401,155.59892457792074,10.529115403080652,7.257964605434078
53,11,Rural,Afternoon,Premium,297.0186264188845,352.6578518131153,55.639225394230834,18.732571106757124
79,64,Rural,Night,Economy,666.6870291344428,649.5593613292255,-17.127667805217357,-2.569071701822989
59,23,Urban,Evening,Premium,449.5456339145253,379.816524323231,-69.72910959129428,-15.511019200456136
40,29,Urban,Afternoon,Economy,624.9860100296204,560.052468511567,-64.9335415180534,-10.38959920318472
76,40,Suburban,Morning,Economy,96.03520851587072,112.13037137664,16.09516286076928,16.75964795568638
41,26,Urban,Night,Economy,637.7593915947267,600.0614067265725,-37.69798486815421,-5.911004269790499
83,14,Urban,Night,Premium,295.5887110300315,283.00662204735664,-12.582088982674861,-4.256620267678807
44,17,Rural,Evening,Economy,353.33854512223814,305.9493974649844,-47.38914765725377,-13.411825092804241
91,73,Urban,Night,Economy,62.25429041832141,59.27243994252271,-2.9818504757987014,-4.789791122446308
54,16,Suburban,Afternoon,Premium,266.0685899337195,301.16375771958513,35.09516778586561,13.190270897668977
59,37,Rural,Night,Premium,340.1282671016029,350.28041926984685,10.152152168243958,2.9848010736524038
72,43,Suburban,Afternoon,Economy,443.258155352454,487.5000004975026,44.24184514504856,9.981056098081247
47,9,Rural,Evening,Economy,265.05527443495566,295.9444421624517,30.889167727496044,11.653858914275716
32,22,Rural,Night,Economy,221.4343854791753,198.32267670941533,-23.111708769759957,-10.43727184454534
45,13,Rural,Night,Economy,393.2308288248255,417.9638598735626,24.733031048737132,6.28969786592065
72,45,Urban,Night,Premium,151.58040412487964,198.18834562177312,46.60794149689349,30.74799923247038
56,15,Urban,Night,Premium,313.9950046053331,301.7409563280518,-12.2540482772813,-3.9026252321063737
42,22,Rural,Afternoon,Premium,366.1515260551269,339.7006718878361,-26.4508541672908,-7.224018551081615
52,14,Suburban,Afternoon,Premium,425.97356882411634,374.8238807786773,-51.14968804543906,-12.007714043534628
81,23,Urban,Evening,Economy,359.0531279855558,512.5831391499302,153.53001116437434,42.75969186670075
77,25,Rural,Afternoon,Premium,260.34417984860374,227.59677741628084,-32.7474024323229,-12.578503752750025
27,6,Urban,Night,Economy,320.30170917475425,309.6101071814766,-10.69160199327763,-3.3379784393983267
74,34,Rural,Morning,Premium,454.49212153190336,478.4508817270909,23.95876019518755,5.271545767269313
92,69,Urban,Afternoon,Economy,45.11502370436019,78.73911296591415,33.624089261553955,74.52969432509533
77,34,Rural,Night,Premium,223.6621142931812,224.99529917689728,1.3331848837160862,0.5960709474330187
66,6,Rural,Evening,Economy,173.1577542620492,158.38655470627245,-14.771199555776747,-8.530486906998503
77,39,Urban,Morning,Economy,592.240499627505,581.8445983445104,-10.3959012829946,-1.7553512955519248
35,16,Urban,Afternoon,Premium,379.3078104185831,387.94829721905904,8.64048680047597,2.277961740608718
48,38,Rural,Evening,Premium,360.7111703191874,362.94008933877956,2.2289190195921833,0.6179234808891141
61,18,Rural,Evening,Premium,203.49261837786293,239.41824066635712,35.925622288494196,17.654508834214493
71,21,Suburban,Afternoon,Premium,553.5451307734787,536.2699205957388,-17.27521017773995,-3.120831386160146
95,7,Rural,Evening,Economy,283.46644254307614,299.07183103480355,15.60538849172741,5.5051978469571345
76,44,Suburban,Afternoon,Premium,435.14534513079855,403.5053642526518,-31.63998087814673,-7.271129343837103
32,13,Suburban,Afternoon,Economy,685.7681264991488,608.3997152453713,-77.36841125377748,-11.282007469309455
49,30,Rural,Evening,Economy,630.8608868741742,580.4552245790829,-50.40566229509125,-7.989980571603372
38,17,Urban,Afternoon,Premium,546.1568747653598,500.4933305221854,-45.66354424317444,-8.36088427208619
92,35,Suburban,Morning,Economy,115.35700254441711,171.51946633418225,56.16246378976514,48.68578634239419
40,29,Suburban,Night,Economy,404.0498951423794,518.2562364770441,114.20634133466473,28.26540551246044
55,42,Suburban,Afternoon,Economy,156.03832988580584,148.70132403615236,-7.33700584965348,-4.702053562751505
58,34,Rural,Morning,Premium,501.26295506529306,500.810463172698,-0.45249189259504874,-0.09027036369286624
34,5,Urban,Evening,Premium,562.4369764527329,542.3146611241934,-20.122315328539457,-3.5777013551722865
70,47,Suburban,Morning,Premium,216.8024750869831,246.5086466662772,29.706171579294107,13.701952234344061
51,24,Rural,Afternoon,Premium,120.09069016935676,119.19234831494123,-0.8983418544155342,-0.7480528700007104
88,56,Rural,Afternoon,Economy,221.1576532597614,220.19786345020242,-0.9597898095589699,-0.4339844429582755
25,8,Suburban,Evening,Economy,492.7012709061221,389.9313237211834,-102.7699471849387,-20.85847008186837
34,19,Rural,Night,Premium,754.2344800100251,655.3913950303286,-98.84308497969653,-13.105087025242169
40,15,Urban,Night,Premium,211.52772882563164,209.12129824112276,-2.4064305845088825,-1.137643087206109
26,7,Suburban,Afternoon,Economy,460.75927538572495,599.9739230201325,139.21464763440753,30.214182344536393
81,42,Suburban,Afternoon,Economy,164.10747354764283,182.68795976924156,18.580486221598733,11.322145067454557
80,56,Suburban,Night,Premium,213.6962129956236,197.38493122516738,-16.31128177045622,-7.632929728516184
64,19,Rural,Night,Premium,732.9893961300692,656.445575978245,-76.5438201518242,-10.442691334410721
45,18,Rural,Morning,Economy,350.6012026111729,428.43374431503236,77.83254170385948,22.19973608880574
84,49,Urban,Night,Premium,192.8798062051633,234.9643607164593,42.084554511296005,21.819056820562803
34,16,Urban,Evening,Economy,294.11580585015537,305.7708431390926,11.655037288937251,3.9627374854091317
67,32,Suburban,Afternoon,Premium,82.52418774801069,101.16530410534793,18.64111635733724,22.588669899130995
93,23,Suburban,Evening,Premium,386.169069413996,489.9700407636844,103.80097134968838,26.879669960933
100,51,Urban,Night,Economy,310.9003272621974,311.42661785436667,0.5262905921692891,0.1692795233777424
35,22,Suburban,Morning,Premium,373.96284065200393,383.8543948305349,9.891554178530953,2.6450633868555053
36,13,Rural,Night,Economy,221.55110013131716,263.2488136889772,41.69771355766002,18.82081087972259
28,18,Suburban,Afternoon,Economy,531.1127009643968,457.44350488536656,-73.66919607903026,-13.87072761492267
21,9,Urban,Morning,Premium,324.9426389036563,397.73740940670365,72.79477050304735,22.402344841124588
26,15,Urban,Morning,Premium,493.4068923175674,579.1075738464474,85.70068152888001,17.369169921064092
97,21,Suburban,Evening,Premium,778.6333560141928,652.686596664638,-125.94675934955478,-16.175361404278064
26,15,Urban,Morning,Premium,720.1572085631501,676.2365274989271,-43.920681064223004,-6.0987629564735
91,56,Urban,Night,Economy,38.23523523879646,49.30664031348161,11.071405074685146,28.956027092652043
65,48,Rural,Afternoon,Premium,573.5891064527985,531.9656794469789,-41.62342700581962,-7.256662746478584
88,28,Urban,Night,Premium,682.016246966075,611.236223344649,-70.78002362142593,-10.378055352242464
82,13,Suburban,Night,Economy,516.4367273015673,509.84497986465897,-6.591747436908349,-1.2763901342475927
65,40,Urban,Evening,Economy,492.5196024192815,418.7914176515182,-73.72818476776331,-14.969593982778898
41,6,Urban,Night,Economy,49.234784001519046,58.358358875723304,9.123574874204259,18.53075027997029
85,36,Rural,Evening,Economy,506.6928860981053,548.8283672100898,42.13548111198452,8.315783044924434
35,13,Rural,Afternoon,Economy,304.3133394836575,300.64322851385435,-3.6701109698031473,-1.2060302634220355
83,29,Urban,Afternoon,Premium,111.179341237614,139.4016228234825,28.222281585868515,25.3844655596146
91,31,Urban,Night,Economy,163.21458328772866,162.6073320731443,-0.6072512145843518,-0.3720569586075757
44,28,Rural,Night,Premium,402.856989480614,460.1988357454386,57.341846264824596,14.233797045138264
96,12,Suburban,Night,Economy,289.2351908680133,286.89334412506344,-2.3418467429498833,-0.8096686768722199
77,46,Suburban,Afternoon,Premium,150.53929481479082,161.03767194957408,10.498377134783254,6.973845033417657
91,80,Rural,Night,Economy,194.93555934032696,170.60832792996882,-24.327231410358138,-12.479627366439901
93,42,Rural,Morning,Economy,674.6485035775572,583.4708651108135,-91.1776384667437,-13.51483594542087
41,9,Rural,Morning,Economy,551.5572340398235,532.404249933544,-19.15298410627952,-3.4725288554363583
61,44,Suburban,Afternoon,Economy,132.2147645898824,167.02399207946237,34.80922748957997,26.327791451699717
83,10,Urban,Afternoon,Economy,70.11182411078714,92.18023745967324,22.068413348886097,31.476022238438283
59,22,Rural,Morning,Premium,346.2847096470098,354.49781792376706,8.213108276757282,2.3717790731012727
42,31,Suburban,Night,Premium,102.04473025177862,112.58942261198588,10.544692360207264,10.333402160199716
81,16,Suburban,Night,Economy,494.1401793052489,475.2678531911474,-18.872326114101497,-3.819225172224531
72,19,Rural,Morning,Premium,183.658314681842,195.72463244692642,12.06631776508442,6.569981754426606
43,9,Rural,Morning,Economy,436.5576476487414,403.0812699835054,-33.47637766523599,-7.6682605024872705
74,33,Urban,Afternoon,Economy,31.362081322241885,58.00722940079575,26.645148078553866,84.95975699054519
68,45,Rural,Evening,Economy,323.4791093139413,356.1689209044782,32.68981159053692,10.105694819015644
36,13,Urban,Evening,Premium,505.3840569466695,507.1189725155294,1.7349155688598898,0.3432865649426227
51,5,Urban,Afternoon,Premium,320.8576215627125,351.75819512377507,30.900573561062572,9.630618531223815
63,23,Urban,Evening,Economy,214.5660524456202,188.2045478505204,-26.361504595099774,-12.285962431909333
96,29,Urban,Night,Economy,758.5015334295354,593.7638082420654,-164.73772518747,-21.718838779747056
94,59,Suburban,Morning,Premium,665.7295341217325,653.1539930630719,-12.575541058660633,-1.888986504895113
74,32,Suburban,Evening,Premium,171.06636292972274,179.97982440246074,8.913461472737993,5.21052842889973
91,13,Rural,Morning,Premium,647.3526381087524,548.898273381747,-98.45436472700544,-15.20876859552792
69,12,Suburban,Afternoon,Premium,608.1282399929386,594.3843155974715,-13.743924395467047,-2.2600371914362403
51,20,Rural,Night,Economy,246.92292493661097,276.58436479443066,29.661439857819687,12.01242852012799
45,17,Rural,Night,Premium,430.0665305032927,557.5030130390951,127.43648253580238,29.631806592033016
92,34,Suburban,Night,Economy,396.6387527092545,459.4314537185566,62.79270100930211,15.831206754356305
69,36,Suburban,Morning,Economy,436.0114486061054,406.20121698802853,-29.81023161807684,-6.837029558140693
56,14,Suburban,Night,Economy,202.9454568505992,190.13257715650312,-12.812879694096068,-6.313459730970193
43,26,Rural,Afternoon,Economy,731.7816872483901,656.7882021536149,-74.99348509477522,-10.248068023779343
86,48,Urban,Night,Economy,216.05054809363543,272.7164065699574,56.665858476322,26.22805587688824
61,34,Urban,Night,Premium,83.86835620425342,113.99425447579381,30.125898271540393,35.9204587224431
50,36,Suburban,Night,Economy,572.2420492964254,534.9796395705323,-37.26240972589312,-6.511651803936368
73,34,Urban,Morning,Premium,118.8070474355678,120.82900025060171,2.021952815033913,1.7018795253963968
76,7,Urban,Morning,Economy,245.8935711917164,263.7576060017237,17.86403481000727,7.264945855814658
87,41,Urban,Night,Economy,387.1117403297744,340.83284786969847,-46.27889246007595,-11.954918344933606
53,33,Rural,Morning,Premium,507.9505746530285,492.8766135470563,-15.073961105972217,-2.967603908366273
71,8,Suburban,Night,Economy,249.302974601016,263.44684633524105,14.143871734225058,5.673366616207001
32,5,Rural,Night,Economy,45.91711193197189,65.83563990107149,19.9185279690996,43.379313574010766
91,30,Suburban,Afternoon,Economy,424.6120578300381,376.7188769140035,-47.89318091603462,-11.279279528892959
47,37,Suburban,Morning,Economy,85.97357530080251,122.46732505452573,36.49374975372322,42.44763536474977
23,13,Rural,Night,Economy,328.9669925908357,289.9136122437935,-39.05338034704215,-11.871519400615421
57,20,Rural,Morning,Economy,172.62943414987132,183.99453525160072,11.365101101729408,6.583524505944098
48,17,Suburban,Evening,Economy,261.9435328532634,293.1043675805227,31.160834727259328,11.896012238910718
22,5,Urban,Evening,Economy,199.0416803252397,189.12237155640042,-9.919308768839272,-4.9835334753157445
60,19,Urban,Evening,Economy,232.2834549147445,260.7895152274039,28.5060603126594,12.2721010513306
94,42,Rural,Morning,Premium,185.311838106628,174.59384107185645,-10.717997034771543,-5.783762734361543
43,6,Suburban,Morning,Premium,153.76143970087224,138.1619403942141,-15.599499306658146,-10.145260955546096
97,18,Suburban,Night,Premium,126.4771352873347,180.36518936408734,53.88805407675264,42.60695338673514
47,17,Rural,Morning,Economy,609.5038276051239,643.6413526232898,34.13752501816589,5.600871310734801
39,28,Urban,Afternoon,Premium,287.1624375675698,334.60293791412795,47.44050034655817,16.520440747197426
50,39,Suburban,Evening,Premium,406.32480651562713,510.7780242717636,104.4532177561365,25.70682766131318
35,17,Urban,Evening,Premium,249.03711265544783,251.73800219714596,2.700889541698132,1.0845329488841744
28,8,Suburban,Evening,Premium,620.9016915662245,640.5043695358064,19.60267796958192,3.1571307077830895
51,32,Rural,Morning,Premium,267.0607016773296,240.44411857932525,-26.616583098004327,-9.966491861525641
54,12,Suburban,Evening,Premium,715.7547930992089,668.2786460570043,-47.476147042204616,-6.633018388411137
65,10,Urban,Afternoon,Economy,430.385487919734,563.8295172758484,133.4440293561144,31.005699100384504
61,26,Rural,Morning,Premium,604.273047008686,499.2136211538546,-105.05942585483143,-17.386085044650564
46,9,Suburban,Evening,Premium,243.5250631593867,219.9314881085582,-23.59357505082849,-9.68835599290515
73,50,Urban,Night,Economy,176.2144067384048,178.99450596219114,2.780099223786351,1.577679870360138
86,49,Urban,Night,Economy,471.4796320940979,459.40644883451773,-12.073183259580162,-2.560700916380328
75,7,Suburban,Morning,Economy,453.3769493913552,424.9134716824864,-28.463477708868822,-6.278104289836565
39,29,Suburban,Evening,Economy,251.1073064574406,307.454762470525,56.34745601308441,22.43959238304146
33,6,Rural,Night,Premium,521.8019208244536,514.389080466373,-7.4128403580806435,-1.4206234324259026
40,29,Suburban,Night,Premium,346.4926515319707,317.3859779646988,-29.106673567271912,-8.400372544289372
54,35,Suburban,Night,Economy,234.0714535105622,226.63461277128445,-7.436840739277756,-3.177166898287397
53,26,Urban,Night,Premium,184.0244513007148,214.05565888460563,30.031207583890847,16.31913985974439
81,34,Urban,Afternoon,Premium,554.8869659163038,566.3649107405647,11.47794482426093,2.0685194515800185
45,20,Urban,Morning,Economy,192.61977241404605,256.296415501706,63.676643087659954,33.05820700004969
20,9,Urban,Evening,Economy,227.796524806166,286.52826943287545,58.73174462670946,25.782546365307724
47,22,Rural,Afternoon,Premium,416.601648993299,425.68349754607095,9.08184855277193,2.1799838226079635
33,18,Urban,Evening,Premium,671.7128294096442,573.7926540120504,-97.92017539759377,-14.57768425886014
78,57,Rural,Morning,Premium,552.6397714448676,520.0435359805961,-32.59623546427156,-5.898278978193921
26,12,Rural,Afternoon,Economy,321.37240510655704,380.92708982697667,59.55468472041963,18.531362299346505
62,21,Rural,Night,Economy,215.4338699200544,235.9879638539769,20.554093933922502,9.540790378759823
84,59,Suburban,Morning,Premium,758.9961232252967,591.491384907288,-167.50473831800878,-22.06924820725171
49,8,Urban,Afternoon,Premium,694.4247148756359,586.6040051087466,-107.82070976688931,-15.526623326791997
34,22,Suburban,Morning,Economy,617.3632185255483,593.5909712002983,-23.772247325249964,-3.850609594466179
49,30,Rural,Afternoon,Premium,328.63536897966003,305.6871527940042,-22.948216185655838,-6.982880831392239
83,50,Rural,Evening,Premium,376.3000600585162,379.3185166080244,3.018456549508244,0.8021408630758289
88,5,Urban,Night,Economy,70.20380336705749,99.92872356732799,29.724920200270503,42.34089718024972
90,71,Suburban,Morning,Economy,451.6848649701074,545.187874536881,93.50300956677364,20.700939265025337
65,5,Rural,Night,Economy,301.40392677127403,372.9303198015965,71.52639303032248,23.731075370030467
73,28,Urban,Afternoon,Economy,153.39607111804412,175.75171637808123,22.355645260037107,14.573805637325343
85,62,Suburban,Morning,Economy,339.66230419418656,385.93553796633114,46.27323377214458,13.623305618774214
65,27,Rural,Night,Premium,733.4425366578176,564.9033567508332,-168.5391799069845,-22.979193526870016
74,42,Urban,Evening,Economy,203.8363809804033,266.57080279417977,62.734421813776464,30.776852253772947
41,7,Rural,Evening,Premium,284.5088586099128,258.7853811306356,-25.72347747927722,-9.041362580047611
79,23,Urban,Night,Economy,492.1134583590864,522.4016501394152,30.288191780328816,6.154717223406653
53,7,Urban,Night,Premium,86.19117981050438,84.57483494613605,-1.6163448643683296,-1.8753019368361643
35,14,Urban,Night,Premium,727.8809447636283,675.0638357434879,-52.81710902014049,-7.2562840667978055
53,40,Rural,Evening,Premium,158.65264164620277,221.63267580298407,62.9800341567813,39.69680775768455
36,23,Urban,Morning,Economy,44.52503661261306,54.54226132355902,10.01722471094596,22.49795951455384
38,25,Urban,Morning,Premium,452.4258268814717,458.8612407829873,6.435413901515574,1.4224240790748555
52,36,Rural,Morning,Premium,152.64047921471024,179.31598675026396,26.67550753555372,17.476037596836207
91,64,Suburban,Morning,Premium,420.2245689053783,364.1060324024866,-56.118536502891686,-13.35441586603849
87,5,Urban,Night,Economy,151.35930066309265,144.2080661076529,-7.151234555439743,-4.724674680783257
96,20,Suburban,Evening,Premium,242.27196569085137,305.83061730448463,63.55865161363326,26.234422720925384
83,59,Urban,Morning,Economy,119.0485543701777,112.44157627287828,-6.606978097299418,-5.549817998423761
48,23,Rural,Afternoon,Economy,472.56954081275165,674.3282337108906,201.75869289813892,42.69396892384197
65,19,Suburban,Evening,Economy,334.6493506052282,330.5047397435073,-4.144610861720935,-1.2384936215251043
79,29,Suburban,Morning,Economy,406.0855256604135,498.74076754930826,92.65524188889475,22.81668171703739
100,22,Suburban,Night,Premium,551.365137615676,529.8948021374832,-21.470335478192737,-3.894032105663967
73,63,Suburban,Afternoon,Economy,534.0181945871103,465.77225715993444,-68.24593742717587,-12.779702661618478
79,67,Rural,Evening,Premium,501.2363000548165,595.840376114365,94.60407605954845,18.87414699398314
88,55,Rural,Night,Premium,159.60691863182956,158.12357736769235,-1.4833412641372092,-0.9293715315429907
76,34,Suburban,Morning,Economy,359.8010509571677,365.15734103792624,5.3562900807585265,1.488681054852217
49,30,Suburban,Night,Economy,348.6695624527248,335.31740241086874,-13.352160041856052,-3.8294596029346373
100,64,Rural,Night,Premium,490.5040759704239,411.0655330671348,-79.43854290328909,-16.19528701084209
87,26,Rural,Morning,Premium,485.683239513509,449.9635692103253,-35.719670303183705,-7.35451985927346
22,5,Rural,Evening,Economy,424.9275101964327,381.33133404424336,-43.596176152189344,-10.259673734006064
21,11,Rural,Afternoon,Economy,40.442890652890384,82.8958722117422,42.45298155885182,104.97019593187208
93,57,Suburban,Morning,Premium,258.424915281181,300.1328274840827,41.70791220290175,16.139276724738856
28,15,Rural,Night,Premium,511.929390993806,694.407358728513,182.47796773470702,35.6451438313521
97,7,Urban,Afternoon,Premium,441.74670095471794,534.3076108799738,92.56090992525588,20.953390195152586
48,12,Urban,Night,Premium,175.5180543386476,170.57856591499504,-4.939488423652563,-2.8142338076071804
70,37,Urban,Night,Premium,658.5834276725151,667.212939862884,8.629512190368928,1.3103142028438663
78,12,Rural,Afternoon,Economy,299.2909931126892,308.46940925863055,9.178416145941355,3.066719800179718
25,7,Rural,Evening,Premium,494.8027992189699,506.6868016130707,11.884002394100833,2.401765392770482
24,9,Urban,Afternoon,Premium,223.51901195083732,287.3657519558535,63.84674000501619,28.564344235316852
92,37,Rural,Morning,Premium,434.5710508212173,440.62782945760165,6.056778636384365,1.3937372553783218
43,33,Rural,Morning,Premium,630.4284012724294,601.5100684791408,-28.918332793288528,-4.587092322446295
96,23,Urban,Morning,Premium,445.1254111184949,397.6443696031389,-47.481041515356026,-10.66689079737043
88,46,Rural,Afternoon,Premium,361.98552095653855,306.50677449011977,-55.478746466418784,-15.3262335796795
83,43,Suburban,Morning,Economy,267.28219711727195,284.06493544820205,16.7827383309301,6.279033363215941
50,29,Urban,Morning,Economy,518.9547629602604,520.1583413365241,1.2035783762637493,0.23192356293219238
97,75,Urban,Afternoon,Economy,575.4934491747886,606.2756891241869,30.78223994939833,5.348842804994148
84,24,Suburban,Afternoon,Economy,349.4432162449335,334.0916721932453,-15.351544051688222,-4.39314410411331
68,40,Suburban,Morning,Premium,279.2349662242834,295.18420168519816,15.949235460914736,5.711761559297055
77,30,Urban,Evening,Premium,689.7483154802385,626.735165142958,-63.013150337280535,-9.135672958245285
82,67,Urban,Afternoon,Economy,88.76294359232648,142.53902679052652,53.77608319820004,60.583934040295794
21,8,Suburban,Evening,Premium,621.7963494961118,617.6297883362868,-4.166561159825051,-0.670084532210832
75,24,Rural,Night,Premium,307.621949405299,297.48850651913415,-10.133442886164858,-3.294122186584876
61,9,Urban,Evening,Premium,172.41053126646165,169.42003933766063,-2.9904919288010205,-1.7345181334539217
90,13,Suburban,Afternoon,Economy,444.2453020895959,457.2325537514453,12.987251661849427,2.9234415312354036
100,21,Suburban,Night,Premium,556.8967118375435,583.5067247328586,26.610012895315094,4.778267195637115
93,31,Suburban,Afternoon,Premium,355.3245754797394,407.4514842252325,52.1269087454931,14.670223323313412
92,14,Urban,Morning,Premium,474.99773906008016,516.1432253027994,41.14548624271919,8.662248861255083
61,12,Rural,Afternoon,Premium,581.9712306098094,619.2911202227476,37.319889612938255,6.412669157860811
53,12,Suburban,Night,Premium,663.4393972369916,549.8322923765605,-113.60710486043104,-17.123961183729445
55,21,Urban,Night,Premium,519.469492374694,506.1132963385469,-13.35619603614714,-2.5711223146311926
57,45,Rural,Afternoon,Premium,397.6919501475396,444.5204927529001,46.8285426053605,11.775079326596275
34,8,Suburban,Afternoon,Premium,388.1122298927073,453.5821303089745,65.4699004162672,16.86880633325216
