Number_of_Riders,Number_of_Drivers,Number_of_Past_Rides,Average_Ratings,Expected_Ride_Duration,Historical_Cost_of_Ride,Location_Category_Suburban,Location_Category_Urban,Customer_Loyalty_Status_Regular,Customer_Loyalty_Status_Silver,Time_of_Booking_Evening,Time_of_Booking_Morning,Time_of_Booking_Night,Vehicle_Type_Premium,price_ratio,adjusted_price
35,24,73,3.76,105,485.8784537318511,True,False,False,False,True,False,False,True,0.5833333333333334,403.5445086287694
68,32,34,3.58,77,294.7328864777875,True,False,True,False,False,True,False,False,0.42777777777777776,345.59965610771525
96,43,97,3.68,91,392.83872040801793,False,False,False,True,False,True,False,True,0.5055555555555555,374.57208236824226
28,11,52,4.33,94,456.1809467866996,True,False,False,False,False,False,False,True,0.5222222222222223,380.7804594240695
25,15,65,4.88,101,502.5293207873477,False,False,False,False,True,False,False,True,0.5611111111111111,395.266672554333
28,6,2,4.29,89,244.21766165291973,True,False,True,False,False,True,False,False,0.49444444444444446,370.43316433102416
73,17,14,4.81,170,634.7265312250814,False,False,True,False,True,False,False,True,0.9444444444444444,538.059344838359
36,18,88,3.73,92,345.40676830595487,False,True,False,True,False,False,True,True,0.5111111111111111,376.6415413868513
56,10,55,4.5,45,151.15212964816465,False,True,False,True,False,False,True,False,0.25,279.3769675122249
97,81,52,4.56,125,530.7599938912294,True,False,True,False,True,False,False,False,0.6944444444444444,444.9336890009508
63,9,89,3.87,166,482.85016419959805,False,False,True,False,False,False,False,True,0.9222222222222223,529.7815087639228
78,33,35,4.46,116,355.9595074862448,False,True,False,True,False,True,False,True,0.6444444444444445,426.3085578334691
29,10,25,3.77,91,303.9609626071891,True,False,True,False,False,False,False,False,0.5055555555555555,374.57208236824226
73,33,60,3.88,161,514.8771742414517,True,False,False,True,False,False,True,True,0.8944444444444445,519.4342136708774
94,29,67,3.59,96,361.13235495172165,False,True,True,False,True,False,False,True,0.5333333333333333,384.9193774612876
54,28,83,4.49,32,80.26246462184758,True,False,False,True,False,False,True,False,0.17777777777777778,252.47400027030696
67,6,15,3.53,123,420.6239113101238,False,False,False,False,False,False,True,False,0.6833333333333333,440.7947709637326
23,8,27,4.73,117,520.8926706123274,False,True,False,True,False,False,False,False,0.65,428.37801685207813
70,14,16,4.3,53,183.07579104191225,False,True,False,True,False,True,False,False,0.29444444444444445,295.93263966109754
20,10,70,4.92,65,190.13746358777752,False,False,False,True,True,False,False,False,0.3611111111111111,320.7661478844064
95,84,18,3.86,112,522.3021028701461,True,False,False,False,False,False,False,True,0.6222222222222222,418.0307217590328
43,16,40,4.89,106,410.6863449474928,False,True,False,True,False,False,True,True,0.5888888888888889,405.61396764737844
97,55,94,4.62,150,584.9958711291002,True,False,False,True,True,False,False,True,0.8333333333333334,496.67016446617765
32,20,44,3.55,68,301.62262644973293,False,False,False,True,False,False,True,False,0.37777777777777777,326.9745249402336
95,25,72,4.16,128,413.5870840445325,True,False,True,False,False,True,False,True,0.7111111111111111,451.14206605677805
47,15,14,4.84,89,273.11810461931896,False,True,False,False,False,False,True,False,0.49444444444444446,370.43316433102416
25,11,33,3.85,94,247.1745626508575,False,False,False,True,False,False,True,False,0.5222222222222223,380.7804594240695
37,22,76,4.72,69,213.4432507972432,False,False,True,False,False,False,False,False,0.38333333333333336,329.04398395884266
59,39,49,3.78,98,295.79438015283176,True,False,False,False,False,True,False,True,0.5444444444444444,389.05829549850574
42,20,88,4.64,29,145.0698091748401,False,True,False,True,False,False,True,True,0.16111111111111112,246.26562321447972
53,11,2,3.5,81,297.0186264188845,False,False,True,False,False,False,False,True,0.45,353.8774921821515
79,64,91,4.57,164,666.6870291344428,False,False,True,False,False,False,True,False,0.9111111111111111,525.6425907267046
59,23,41,4.97,91,449.5456339145253,False,True,False,False,True,False,False,True,0.5055555555555555,374.57208236824226
40,29,72,4.3,147,624.9860100296204,False,True,True,False,False,False,False,False,0.8166666666666667,490.4617874103504
76,40,77,4.17,28,96.03520851587072,True,False,False,True,False,True,False,False,0.15555555555555556,244.19616419587067
41,26,96,3.91,169,637.7593915947267,False,True,True,False,False,False,True,False,0.9388888888888889,535.98988581975
83,14,80,4.77,64,295.5887110300315,False,True,True,False,False,False,True,True,0.35555555555555557,318.69668886579734
44,17,15,4.0,98,353.33854512223814,False,False,True,False,True,False,False,False,0.5444444444444444,389.05829549850574
91,73,61,4.39,15,62.25429041832141,False,True,False,False,False,False,True,False,0.08333333333333333,217.29319695395267
54,16,8,4.5,67,266.0685899337195,True,False,True,False,False,False,False,True,0.37222222222222223,324.90506592162455
59,37,86,4.67,95,340.1282671016029,False,False,False,True,False,False,True,True,0.5277777777777778,382.84991844267853
72,43,28,4.87,132,443.258155352454,True,False,False,False,False,False,False,False,0.7333333333333333,459.4199021312143
47,9,49,4.44,96,265.05527443495566,False,False,False,False,True,False,False,False,0.5333333333333333,384.9193774612876
32,22,49,4.65,60,221.4343854791753,False,False,False,True,False,False,True,False,0.3333333333333333,310.41885279136096
45,13,96,4.84,112,393.2308288248255,False,False,True,False,False,False,True,False,0.6222222222222222,418.0307217590328
72,45,82,4.42,40,151.58040412487964,False,True,False,True,False,False,True,True,0.2222222222222222,269.0296724191795
56,15,34,4.72,78,313.9950046053331,False,True,False,False,False,False,True,True,0.43333333333333335,347.66911512632436
42,22,67,3.81,82,366.1515260551269,False,False,False,True,False,False,False,True,0.45555555555555555,355.9469512007606
52,14,87,3.54,98,425.97356882411634,True,False,False,True,False,False,False,True,0.5444444444444444,389.05829549850574
81,23,39,4.3,143,359.0531279855558,False,True,False,False,True,False,False,False,0.7944444444444444,482.18395133591406
77,25,70,4.27,52,260.34417984860374,False,False,True,False,False,False,False,True,0.28888888888888886,293.86318064248843
27,6,2,4.42,86,320.30170917475425,False,True,False,False,False,False,True,False,0.4777777777777778,364.22478727519695
74,34,18,4.66,140,454.49212153190336,False,False,True,False,False,True,False,True,0.7777777777777778,475.97557428008685
92,69,88,4.69,18,45.11502370436019,False,True,False,True,False,False,False,False,0.1,223.50157400977992
77,34,33,4.13,48,223.6621142931812,False,False,False,False,False,False,True,True,0.26666666666666666,285.5853445680521
66,6,23,4.2,45,173.1577542620492,False,False,True,False,True,False,False,False,0.25,279.3769675122249
77,39,23,4.29,167,592.240499627505,False,True,True,False,False,True,False,False,0.9277777777777778,531.8509677825318
35,16,31,4.75,113,379.3078104185831,False,True,True,False,False,False,False,True,0.6277777777777778,420.10018077764187
48,38,40,3.7,80,360.7111703191874,False,False,False,False,True,False,False,True,0.4444444444444444,351.80803316354246
61,18,84,3.93,58,203.49261837786293,False,False,False,False,True,False,False,True,0.32222222222222224,306.27993475414286
71,21,82,4.88,126,553.5451307734787,True,False,False,True,False,False,False,True,0.7,447.00314801955983
95,7,40,4.68,95,283.46644254307614,False,False,False,False,True,False,False,False,0.5277777777777778,382.84991844267853
76,44,20,3.56,105,435.14534513079855,True,False,False,False,False,False,False,True,0.5833333333333334,403.5445086287694
32,13,21,4.64,156,685.7681264991488,True,False,True,False,False,False,False,False,0.8666666666666667,509.0869185778321
49,30,57,4.83,154,630.8608868741742,False,False,False,True,True,False,False,False,0.8555555555555555,504.9480005406139
38,17,92,4.41,138,546.1568747653598,False,True,False,True,False,False,False,True,0.7666666666666667,471.8366562428687
92,35,46,4.72,45,115.35700254441711,True,False,True,False,False,True,False,False,0.25,279.3769675122249
40,29,26,4.26,152,404.0498951423794,True,False,False,True,False,False,True,False,0.8444444444444444,500.8090825033958
55,42,24,4.49,45,156.03832988580584,True,False,False,True,False,False,False,False,0.25,279.3769675122249
58,34,19,4.55,131,501.26295506529306,False,False,False,False,False,True,False,True,0.7277777777777777,457.35044311260526
34,5,26,4.85,152,562.4369764527329,False,True,True,False,True,False,False,True,0.8444444444444444,500.8090825033958
70,47,3,3.66,53,216.8024750869831,True,False,False,True,False,True,False,True,0.29444444444444445,295.93263966109754
51,24,25,4.68,16,120.09069016935676,False,False,False,False,False,False,False,True,0.08888888888888889,219.36265597256178
88,56,11,4.36,60,221.1576532597614,False,False,True,False,False,False,False,False,0.3333333333333333,310.41885279136096
25,8,83,3.53,121,492.7012709061221,True,False,False,True,True,False,False,False,0.6722222222222223,436.6558529265145
34,19,51,4.2,166,754.2344800100251,False,False,True,False,False,False,True,True,0.9222222222222223,529.7815087639228
40,15,90,3.62,42,211.52772882563164,False,True,True,False,False,False,True,True,0.23333333333333334,273.16859045639774
26,7,58,4.91,161,460.75927538572495,True,False,False,False,False,False,False,False,0.8944444444444445,519.4342136708774
81,42,88,4.14,47,164.10747354764283,True,False,True,False,False,False,False,False,0.2611111111111111,283.51588554944306
80,56,63,4.57,43,213.6962129956236,True,False,False,False,False,False,True,True,0.2388888888888889,275.2380494750068
64,19,86,4.68,171,732.9893961300692,False,False,False,False,False,False,True,True,0.95,540.1288038569681
45,18,68,4.07,136,350.6012026111729,False,False,False,False,False,True,False,False,0.7555555555555555,467.6977382056506
84,49,32,4.25,53,192.8798062051633,False,True,True,False,False,False,True,True,0.29444444444444445,295.93263966109754
34,16,47,4.12,93,294.11580585015537,False,True,False,True,True,False,False,False,0.5166666666666667,378.7110004054604
67,32,40,4.47,13,82.52418774801069,True,False,True,False,False,False,False,True,0.07222222222222222,213.15427891673454
93,23,34,4.23,125,386.169069413996,True,False,False,True,True,False,False,True,0.6944444444444444,444.9336890009508
100,51,56,3.58,89,310.9003272621974,False,True,False,True,False,False,True,False,0.49444444444444446,370.43316433102416
35,22,15,4.23,120,373.96284065200393,True,False,False,False,False,True,False,True,0.6666666666666666,434.58639390790535
36,13,31,4.71,71,221.5511001313172,False,False,False,True,False,False,True,False,0.39444444444444443,333.18290199606076
28,18,100,3.7,127,531.1127009643968,True,False,True,False,False,False,False,False,0.7055555555555556,449.072607038169
21,9,10,3.88,108,324.9426389036563,False,True,False,False,False,True,False,True,0.6,409.75288568459655
26,15,35,5.0,161,493.4068923175674,False,True,True,False,False,True,False,True,0.8944444444444445,519.4342136708774
97,21,59,3.87,174,778.6333560141928,True,False,True,False,True,False,False,True,0.9666666666666667,546.3371809127955
26,15,10,3.71,171,720.1572085631501,False,True,False,True,False,True,False,True,0.95,540.1288038569681
91,56,17,4.66,10,38.23523523879646,False,True,False,False,False,False,True,False,0.05555555555555555,206.94590186090736
65,48,12,4.37,140,573.5891064527985,False,False,False,True,False,False,False,True,0.7777777777777778,475.97557428008685
88,28,22,4.99,154,682.016246966075,False,True,False,False,False,False,True,True,0.8555555555555555,504.9480005406139
82,13,32,3.58,148,516.4367273015673,True,False,False,False,False,False,True,False,0.8222222222222222,492.53124642895943
65,40,48,3.59,121,492.5196024192815,False,True,False,True,True,False,False,False,0.6722222222222223,436.6558529265145
41,6,56,4.32,11,49.234784001519046,False,True,False,True,False,False,True,False,0.06111111111111111,209.0153608795164
85,36,64,4.32,152,506.6928860981053,False,False,False,True,True,False,False,False,0.8444444444444444,500.8090825033958
35,13,80,3.8,93,304.3133394836575,False,False,False,True,False,False,False,False,0.5166666666666667,378.7110004054604
83,29,78,4.42,23,111.179341237614,False,True,False,True,False,False,False,True,0.12777777777777777,233.8488691028253
91,31,12,4.39,39,163.21458328772866,False,True,True,False,False,False,True,False,0.21666666666666667,266.96021340057047
44,28,31,4.92,132,402.856989480614,False,False,True,False,False,False,True,True,0.7333333333333333,459.4199021312143
96,12,15,4.97,90,289.2351908680133,True,False,False,False,False,False,True,False,0.5,372.5026233496332
77,46,97,4.2,25,150.53929481479082,True,False,True,False,False,False,False,True,0.1388888888888889,237.98778714004342
91,80,74,4.74,46,194.93555934032696,False,False,False,False,False,False,True,False,0.25555555555555554,281.44642653083395
93,42,75,4.66,160,674.6485035775572,False,False,False,True,False,True,False,False,0.8888888888888888,517.3647546522683
41,9,73,3.51,150,551.5572340398235,False,False,False,True,False,True,False,False,0.8333333333333334,496.67016446617765
61,44,69,4.54,52,132.2147645898824,True,False,True,False,False,False,False,False,0.28888888888888886,293.86318064248843
83,10,28,3.91,23,70.11182411078714,False,True,False,False,False,False,False,False,0.12777777777777777,233.8488691028253
59,22,79,4.38,93,346.2847096470098,False,False,True,False,False,True,False,True,0.5166666666666667,378.7110004054604
42,31,62,4.95,13,102.04473025177862,True,False,False,False,False,False,True,True,0.07222222222222222,213.15427891673454
81,16,73,4.89,125,494.1401793052489,True,False,True,False,False,False,True,False,0.6944444444444444,444.9336890009508
72,19,89,4.74,45,183.658314681842,False,False,False,False,False,True,False,True,0.25,279.3769675122249
43,9,2,4.12,126,436.5576476487414,False,False,False,True,False,True,False,False,0.7,447.00314801955983
74,33,82,4.13,10,31.362081322241885,False,True,False,True,False,False,False,False,0.05555555555555555,206.94590186090736
68,45,65,4.19,112,323.4791093139413,False,False,False,True,True,False,False,False,0.6222222222222222,418.0307217590328
36,13,84,4.88,140,505.3840569466695,False,True,False,True,True,False,False,True,0.7777777777777778,475.97557428008685
51,5,0,4.59,92,320.8576215627125,False,True,False,False,False,False,False,True,0.5111111111111111,376.6415413868513
63,23,48,4.09,49,214.5660524456202,False,True,False,True,True,False,False,False,0.2722222222222222,287.65480358666116
96,29,84,3.65,176,758.5015334295354,False,True,True,False,False,False,True,False,0.9777777777777777,550.4760989500136
94,59,84,4.38,175,665.7295341217325,True,False,True,False,False,True,False,True,0.9722222222222222,548.4066399314045
74,32,2,4.7,38,171.06636292972274,True,False,True,False,True,False,False,True,0.2111111111111111,264.8907543819614
91,13,32,3.6,160,647.3526381087524,False,False,False,True,False,True,False,True,0.8888888888888888,517.3647546522683
69,12,42,4.34,158,608.1282399929386,True,False,True,False,False,False,False,True,0.8777777777777778,513.2258366150502
51,20,57,3.68,67,246.92292493661097,False,False,False,True,False,False,True,False,0.37222222222222223,324.90506592162455
45,17,10,4.93,148,430.0665305032927,False,False,False,False,False,False,True,True,0.8222222222222222,492.53124642895943
92,34,98,3.99,140,396.6387527092545,True,False,True,False,False,False,True,False,0.7777777777777778,475.97557428008685
69,36,55,4.74,109,436.0114486061054,True,False,False,False,False,True,False,False,0.6055555555555555,411.82234470320566
56,14,30,3.67,48,202.9454568505992,True,False,False,True,False,False,True,False,0.26666666666666666,285.5853445680521
43,26,59,4.91,175,731.7816872483901,False,False,True,False,False,False,False,False,0.9722222222222222,548.4066399314045
86,48,37,4.15,84,216.05054809363543,False,True,False,True,False,False,True,False,0.4666666666666667,360.0858692379788
61,34,82,3.99,10,83.86835620425342,False,True,False,False,False,False,True,True,0.05555555555555555,206.94590186090736
50,36,18,4.61,145,572.2420492964254,True,False,False,False,False,False,True,False,0.8055555555555556,486.3228693731323
73,34,95,4.31,21,118.8070474355678,False,True,True,False,False,True,False,True,0.11666666666666667,229.70995106560716
76,7,76,4.35,72,245.8935711917164,False,True,False,False,False,True,False,False,0.4,335.2523610146699
87,41,87,4.36,87,387.1117403297744,False,True,True,False,False,False,True,False,0.48333333333333334,366.294246293806
53,33,40,3.8,139,507.9505746530285,False,False,True,False,False,True,False,True,0.7722222222222223,473.9061152614778
71,8,57,3.68,75,249.302974601016,True,False,False,True,False,False,True,False,0.4166666666666667,341.46073807049714
32,5,80,3.55,14,45.91711193197189,False,False,False,False,False,False,True,False,0.07777777777777778,215.22373793534362
91,30,34,3.69,96,424.6120578300381,True,False,False,False,False,False,False,False,0.5333333333333333,384.9193774612876
47,37,64,3.75,31,85.97357530080251,True,False,False,False,False,True,False,False,0.17222222222222222,250.4045412516979
23,13,42,4.55,87,328.9669925908357,False,False,False,True,False,False,True,False,0.48333333333333334,366.294246293806
57,20,92,3.74,53,172.62943414987132,False,False,True,False,False,True,False,False,0.29444444444444445,295.93263966109754
48,17,2,4.09,85,261.9435328532634,True,False,False,True,True,False,False,False,0.4722222222222222,362.15532825658784
22,5,39,4.92,56,199.0416803252397,False,True,False,False,True,False,False,False,0.3111111111111111,302.1410167169247
60,19,37,4.22,68,232.2834549147445,False,True,False,True,True,False,False,False,0.37777777777777777,326.9745249402336
94,42,0,4.23,36,185.311838106628,False,False,True,False,False,True,False,True,0.2,260.75183634474325
43,6,34,4.4,24,153.76143970087224,True,False,False,True,False,True,False,True,0.13333333333333333,235.91832812143434
97,18,53,4.25,26,126.4771352873347,True,False,True,False,False,False,True,True,0.14444444444444443,240.05724615865248
47,17,7,4.8,173,609.5038276051239,False,False,False,True,False,True,False,False,0.9611111111111111,544.2677218941864
39,28,72,3.76,87,287.1624375675698,False,True,False,True,False,False,False,True,0.48333333333333334,366.294246293806
50,39,94,3.81,139,406.32480651562713,True,False,True,False,True,False,False,True,0.7722222222222223,473.9061152614778
35,17,78,4.4,61,249.03711265544783,False,True,True,False,True,False,False,True,0.3388888888888889,312.48831180997007
28,8,69,3.86,175,620.9016915662245,True,False,True,False,True,False,False,True,0.9722222222222222,548.4066399314045
51,32,98,4.44,51,267.0607016773296,False,False,True,False,False,True,False,True,0.2833333333333333,291.7937216238793
54,12,84,4.98,172,715.7547930992089,True,False,False,True,True,False,False,True,0.9555555555555556,542.1982628755773
65,10,77,4.36,170,430.385487919734,False,True,True,False,False,False,False,False,0.9444444444444444,538.059344838359
61,26,21,3.85,126,604.273047008686,False,False,False,False,False,True,False,True,0.7,447.00314801955983
46,9,67,4.22,47,243.5250631593867,True,False,False,True,True,False,False,True,0.2611111111111111,283.51588554944306
73,50,7,4.22,45,176.2144067384048,False,True,True,False,False,False,True,False,0.25,279.3769675122249
86,49,99,3.51,130,471.4796320940979,False,True,True,False,False,False,True,False,0.7222222222222222,455.2809840939962
75,7,100,4.13,134,453.3769493913552,True,False,False,False,False,True,False,False,0.7444444444444445,463.5588201684325
39,29,12,4.24,97,251.1073064574406,True,False,False,True,True,False,False,False,0.5388888888888889,386.9888364798967
33,6,90,4.81,139,521.8019208244536,False,False,False,False,False,False,True,True,0.7722222222222223,473.9061152614778
40,29,6,4.94,71,346.4926515319707,True,False,False,True,False,False,True,True,0.39444444444444443,333.18290199606076
54,35,66,4.4,77,234.0714535105622,True,False,False,True,False,False,True,False,0.42777777777777776,345.59965610771525
53,26,54,4.6,52,184.0244513007148,False,True,False,False,False,False,True,True,0.28888888888888886,293.86318064248843
81,34,98,3.55,164,554.8869659163038,False,True,False,True,False,False,False,True,0.9111111111111111,525.6425907267046
45,20,80,4.73,63,192.61977241404605,False,True,True,False,False,True,False,False,0.35,316.62722984718823
20,9,77,3.91,89,227.796524806166,False,True,False,True,True,False,False,False,0.49444444444444446,370.43316433102416
47,22,11,4.8,119,416.601648993299,False,False,False,True,False,False,False,True,0.6611111111111111,432.5169348892963
33,18,90,3.61,146,671.7128294096442,False,True,False,False,True,False,False,True,0.8111111111111111,488.39232839174133
78,57,5,4.82,127,552.6397714448676,False,False,False,True,False,True,False,True,0.7055555555555556,449.072607038169
26,12,9,3.75,115,321.37240510655704,False,False,False,True,False,False,False,False,0.6388888888888888,424.23909881486003
62,21,61,4.57,56,215.4338699200544,False,False,True,False,False,False,True,False,0.3111111111111111,302.1410167169247
84,59,67,4.27,164,758.9961232252967,True,False,False,True,False,True,False,True,0.9111111111111111,525.6425907267046
49,8,1,4.06,157,694.4247148756359,False,True,True,False,False,False,False,True,0.8722222222222222,511.15637759644113
34,22,34,3.64,176,617.3632185255483,True,False,False,False,False,True,False,False,0.9777777777777777,550.4760989500136
49,30,86,3.62,69,328.63536897966003,False,False,False,True,False,False,False,True,0.38333333333333336,329.04398395884266
83,50,7,3.66,100,376.3000600585162,False,False,True,False,True,False,False,True,0.5555555555555556,393.19721353572396
88,5,89,3.59,27,70.20380336705749,False,True,False,True,False,False,True,False,0.15,242.12670517726158
90,71,88,3.84,167,451.6848649701074,True,False,False,False,False,True,False,False,0.9277777777777778,531.8509677825318
65,5,24,3.54,119,301.40392677127403,False,False,False,True,False,False,True,False,0.6611111111111111,432.5169348892963
73,28,22,4.57,53,153.39607111804412,False,True,False,True,False,False,False,False,0.29444444444444445,295.93263966109754
85,62,54,3.78,114,339.66230419418656,True,False,False,True,False,True,False,False,0.6333333333333333,422.169639796251
65,27,62,3.54,162,733.4425366578176,False,False,False,False,False,False,True,True,0.9,521.5036726894865
74,42,88,3.5,77,203.8363809804033,False,True,False,False,True,False,False,False,0.42777777777777776,345.59965610771525
41,7,68,4.3,66,284.5088586099128,False,False,False,False,True,False,False,True,0.36666666666666664,322.83560690301545
79,23,88,3.88,164,492.1134583590864,False,True,False,False,False,False,True,False,0.9111111111111111,525.6425907267046
53,7,64,4.55,10,86.19117981050438,False,True,False,True,False,False,True,True,0.05555555555555555,206.94590186090736
35,14,74,5.0,175,727.8809447636283,False,True,False,True,False,False,True,True,0.9722222222222222,548.4066399314045
53,40,79,3.66,30,158.65264164620277,False,False,False,False,True,False,False,True,0.16666666666666666,248.3350822330888
36,23,42,4.66,14,44.52503661261306,False,True,False,True,False,True,False,False,0.07777777777777778,215.22373793534362
38,25,2,4.24,128,452.4258268814717,False,True,True,False,False,True,False,True,0.7111111111111111,451.14206605677805
52,36,1,4.52,36,152.64047921471024,False,False,False,True,False,True,False,True,0.2,260.75183634474325
91,64,26,4.56,96,420.2245689053783,True,False,True,False,False,True,False,True,0.5333333333333333,384.9193774612876
87,5,59,4.32,42,151.35930066309265,False,True,False,True,False,False,True,False,0.23333333333333334,273.16859045639774
96,20,88,3.6,71,242.27196569085137,True,False,False,False,True,False,False,True,0.39444444444444443,333.18290199606076
83,59,8,4.85,31,119.0485543701777,False,True,False,False,False,True,False,False,0.17222222222222222,250.4045412516979
48,23,0,4.46,174,472.56954081275165,False,False,False,False,False,False,False,False,0.9666666666666667,546.3371809127955
65,19,24,4.59,96,334.6493506052282,True,False,False,True,True,False,False,False,0.5333333333333333,384.9193774612876
79,29,0,4.86,127,406.0855256604135,True,False,False,True,False,True,False,False,0.7055555555555556,449.072607038169
100,22,45,4.23,141,551.365137615676,True,False,False,True,False,False,True,True,0.7833333333333333,478.0450332986959
73,63,25,4.19,129,534.0181945871103,True,False,False,True,False,False,False,False,0.7166666666666667,453.2115250753871
79,67,56,4.01,151,501.2363000548165,False,False,False,False,True,False,False,True,0.8388888888888889,498.73962348478676
88,55,56,4.0,26,159.60691863182956,False,False,True,False,False,False,True,True,0.14444444444444443,240.05724615865248
76,34,10,4.92,103,359.8010509571677,True,False,False,True,False,True,False,False,0.5722222222222222,399.4055905915512
49,30,80,3.74,85,348.6695624527248,True,False,False,True,False,False,True,False,0.4722222222222222,362.15532825658784
100,64,7,4.89,115,490.5040759704239,False,False,True,False,False,False,True,True,0.6388888888888888,424.23909881486003
87,26,63,4.2,118,485.683239513509,False,False,False,False,False,True,False,True,0.6555555555555556,430.44747587068724
22,5,93,4.85,99,424.9275101964327,False,False,False,True,True,False,False,False,0.55,391.1277545171149
21,11,23,3.76,12,40.442890652890384,False,False,False,True,False,False,False,False,0.06666666666666667,211.0848198981255
93,57,34,4.89,80,258.424915281181,True,False,True,False,False,True,False,True,0.4444444444444444,351.80803316354246
28,15,90,4.25,177,511.929390993806,False,False,False,False,False,False,True,True,0.9833333333333333,552.5455579686226
97,7,22,3.74,147,441.74670095471794,False,True,False,True,False,False,False,True,0.8166666666666667,490.4617874103504
48,12,51,4.63,32,175.5180543386476,False,True,False,True,False,False,True,True,0.17777777777777778,252.47400027030696
70,37,10,3.65,168,658.5834276725151,False,True,False,True,False,False,True,True,0.9333333333333333,533.9204268011409
78,12,99,4.3,95,299.2909931126892,False,False,False,True,False,False,False,False,0.5277777777777778,382.84991844267853
25,7,24,3.85,144,494.8027992189699,False,False,True,False,True,False,False,True,0.8,484.25341035452317
24,9,6,4.05,69,223.51901195083727,False,True,False,False,False,False,False,True,0.38333333333333336,329.04398395884266
92,37,7,4.92,103,434.5710508212173,False,False,False,True,False,True,False,True,0.5722222222222222,399.4055905915512
43,33,16,4.01,159,630.4284012724294,False,False,False,False,False,True,False,True,0.8833333333333333,515.2952956336593
96,23,8,4.23,90,445.1254111184949,False,True,False,False,False,True,False,True,0.5,372.5026233496332
88,46,35,4.89,72,361.98552095653855,False,False,False,False,False,False,False,True,0.4,335.2523610146699
83,43,20,3.59,63,267.28219711727195,True,False,True,False,False,True,False,False,0.35,316.62722984718823
